episode_id,name,role_detail,role_group_normalized
Chernobyl_S01E01_End,ELLA WEST,KEY 1ST ASSISTANT ACCOUNTANT,Production Managers
Chernobyl_S01E01_End,TADAS MACKELIS,1ST ASSISTANT ACCOUNTANT (LITHUANIA),Production Managers
Chernobyl_S01E01_End,KAREN WALKER,2ND ASSISTANT ACCOUNTANT,Production Managers
Chernobyl_S01E01_End,LIUKRECIJA KYBARTIENĖ,PAYROLL ACCOUNTANT (LITHUANIA),Production Managers
Chernobyl_S01E01_End,BIRUTE LAPINSKIENE,CASHIER,Production Managers
Chernobyl_S01E01_End,RENATA DOBRIKIENE,ASSISTANT ACCOUNTANTS,Production Managers
Chernobyl_S01E01_End,KRISTINA VALVOLIENE,ASSISTANT ACCOUNTANTS,Production Managers
Chernobyl_S01E01_End,SARAH STIFF,ASSISTANT ACCOUNTANTS,Production Managers
Chernobyl_S01E01_End,JACKIE GILBEY,ASSISTANT ACCOUNTANTS,Production Managers
Chernobyl_S01E01_End,REEL FIGURES LTD.,POST PRODUCTION ACCOUNTANCY,Miscellaneous Companies
Chernobyl_S01E01_End,RUTA ANDRIULEVICIUTE,LITHUANIAN LAWYER,Additional Crew
Chernobyl_S01E01_End,CHRIS ROUFS,SCRIPT SUPERVISOR,Script and Continuity Department
Chernobyl_S01E01_End,BRETT THOMAS,2ND ASSISTANT DIRECTOR,Second Unit Directors or Assistant Directors
Chernobyl_S01E01_End,TAUTVYDAS SAVUKAITIS,2ND 2ND ASSISTANT DIRECTORS,Second Unit Directors or Assistant Directors
Chernobyl_S01E01_End,EVELINA VERCINSKAJA,2ND 2ND ASSISTANT DIRECTORS,Second Unit Directors or Assistant Directors
Chernobyl_S01E01_End,LUKAS KUDAPCENKA,3RD ASSISTANT DIRECTOR,Second Unit Directors or Assistant Directors
Chernobyl_S01E01_End,KAROLIS KASIKAUSKAS,KEY SET PRODUCTION ASSISTANT,Production Managers
Chernobyl_S01E01_End,SIMONAS SAINERIS,SET PRODUCTION ASSISTANT,Production Managers
Chernobyl_S01E01_End,AUSRA VINCKAITE,CAST PRODUCTION ASSISTANT,Production Managers
Chernobyl_S01E01_End,IEVA MISIULAITYTĖ,ASSISTANT TO JOHAN RENCK,Additional Crew
Chernobyl_S01E01_End,MARTIN WARE,CASTING ASSOCIATE,Casting Directors
Chernobyl_S01E01_End,PAULINE HANSSON,SCANDINAVIAN CASTING CONSULTANT,Casting Directors
Chernobyl_S01E01_End,DALIA SURVILAITE,LITHUANIAN CASTING,Casting Directors
Chernobyl_S01E01_End,VITA SURVILAITE,CASTING ASSISTANTS,Casting Directors
Chernobyl_S01E01_End,DALIA DAUGILYTE,CASTING ASSISTANTS,Casting Directors
Chernobyl_S01E01_End,LIAM DANIEL,STILLS PHOTOGRAPHER,Additional Crew
Chernobyl_S01E01_End,NAOMI TODD,DIALECT COACHES,Additional Crew
Chernobyl_S01E01_End,JILL McCULLOUGH,DIALECT COACHES,Additional Crew
Chernobyl_S01E01_End,IMOGEN KNIGHT,MOVEMENT COACH,Additional Crew
Chernobyl_S01E01_End,JONAS SPOKAS,SUPERVISING LOCATION MANAGER,Location Managers
Chernobyl_S01E01_End,JULIUS KARVELIS,ASSISTANT LOCATION MANAGERS,Location Managers
Chernobyl_S01E01_End,LINAS ASTRAMSKAS,ASSISTANT LOCATION MANAGERS,Location Managers
Chernobyl_S01E01_End,DARIUS BALTUSIS,ASSISTANT LOCATION MANAGERS,Location Managers
Chernobyl_S01E01_End,AURELIJUS SILKINIS,ASSISTANT LOCATION MANAGERS,Location Managers
Chernobyl_S01E01_End,GODA GAJAUSKAITE,ASSISTANT LOCATION MANAGERS,Location Managers
Chernobyl_S01E01_End,VYTAUTAS RIABOVAS,LOCATION SCOUT,Location Managers
Chernobyl_S01E01_End,DONATAS BAKANAS,UNIT MANAGER,Production Managers
Chernobyl_S01E01_End,JUSTINAS BREIMELIS,ASSISTANT UNIT MANAGERS,Production Managers
Chernobyl_S01E01_End,ANDRIUS ZVALIAUSKAS,ASSISTANT UNIT MANAGERS,Production Managers
Chernobyl_S01E01_End,EVALDAS DABASINSKAS,TRANSPORT COORDINATOR,Transportation Department
Chernobyl_S01E01_End,RUTA PUODZIUNAITE,ASSISTANT TRANSPORT COORDINATOR,Transportation Department
Chernobyl_S01E01_End,VASILIJ KAZAKEVIC,TRANSPORTATION CAPTAIN,Transportation Department
Chernobyl_S01E01_End,DAVID CHAPLIN,FACILITIES HOD,Additional Crew
Chernobyl_S01E01_End,KAREN WAKEFIELD,SUPERVISING ART DIRECTOR,Art Directors
Chernobyl_S01E01_End,MAX KLAENTSCHI,ART DIRECTORS,Art Directors
Chernobyl_S01E01_End,GAVIN FITCH,ART DIRECTORS,Art Directors
Chernobyl_S01E01_End,AINIS JANKAUSKAS,ART DIRECTORS,Art Directors
Chernobyl_S01E01_End,PAULIUS DASCIORAS,ART DIRECTORS,Art Directors
Chernobyl_S01E01_End,LAURA NG,STANDBY ART DIRECTORS,Art Directors
Chernobyl_S01E01_End,ASTRID SIEBEN,STANDBY ART DIRECTORS,Art Directors
Chernobyl_S01E01_End,ANITA DHILLON,GRAPHIC DESIGNERS,Art Department
Chernobyl_S01E01_End,NEIL FLOYD,GRAPHIC DESIGNERS,Art Department
Chernobyl_S01E01_End,TOMAS JANKAUSKAS,GRAPHIC DESIGNERS,Art Department
Chernobyl_S01E01_End,ASTA OSTROVSKAJA,GRAPHIC DESIGNERS,Art Department
Chernobyl_S01E01_End,DOMANTAS JAKUCIONIS,ASSISTANT GRAPHIC DESIGNER,Art Department
Chernobyl_S01E01_End,JUSTAS PALIUKAITIS,DRAFTSMEN,Art Department
Chernobyl_S01E01_End,IEVA BUZINSKAITE,ART DEPARTMENT COORDINATOR,Art Department
Chernobyl_S01E01_End,JONE GRUBYTE,ART DEPARTMENT ASSISTANT,Art Department
Chernobyl_S01E01_End,GORDON CHAMP,DIGITAL ARTIST,Art Department
Chernobyl_S01E01_End,TOMMY MILES,LEAD SCENIC ARTIST,Art Department
Chernobyl_S01E01_End,DOMINEE REID,SCENIC ARTISTS,Art Department
Chernobyl_S01E01_End,NANCY O'CONNOR,SCENIC ARTISTS,Art Department
Chernobyl_S01E01_End,JAMES O'BRIEN,SCENIC ARTISTS,Art Department
Chernobyl_S01E01_End,GINTAS MATONIS,SCULPTOR,Art Department
Chernobyl_S01E01_End,RENUARAS KRIVELIS,CONSTRUCTION MANAGERS,Art Department
Chernobyl_S01E01_End,DONATAS PIRSTELIS,CONSTRUCTION MANAGERS,Art Department
Chernobyl_S01E01_End,JURIJ TERIOSKIN,ACTION VEHICLE COORDINATOR,Transportation Department
Chernobyl_S01E01_End,ZYDRUNAS SAPRANAUSKAS,ASST. ACTION VEHICLE COORDINATOR,Transportation Department
Chernobyl_S01E01_End,DAINIUS AIDUKAS,ACTION VEHICLE MECHANIC,Transportation Department
Chernobyl_S01E01_End,CLAIRE LEVINSON-GENDLER,SET DECORATOR,Set Decorators
Chernobyl_S01E01_End,LINA GECIENE,ASSISTANT SET DECORATOR,Set Decorators
Chernobyl_S01E01_End,RYTIS DARASKEVICIUS,SET DECORATOR'S ASSISTANT,Set Decorators
Chernobyl_S01E01_End,FELICITY HICKMAN,SET DEC BUYER,Set Decorators
Chernobyl_S01E01_End,ANDRIUS ZUBKAITIS,LEAD MAN,Set Decorators
Chernobyl_S01E01_End,DAVID BALDWIN,CONTROL ROOM LIGHTING DESIGNER,Camera and Electrical Department
Chernobyl_S01E01_End,MARTYNAS VINCIUNAS,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,MARIUS SMAILYS,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,GRIGORY KUTSENKO,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,ARTURAS BUT,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,VYTAUTAS RUMINAS,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,MARTYNAS KOSAS,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,MARTYNAS BALTRUSAITIS,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,ONA KVINTAITĖ,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,JURGIS PASKEVICIUS,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,ANDRIUS SAVICKAS,SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,JUSTINAS BACIUSKA,SET DRESSING BUYERS,Set Decorators
Chernobyl_S01E01_End,EVALDAS SIMELEVICIUS,SET DRESSING BUYERS,Set Decorators
Chernobyl_S01E01_End,IEVA ROJUTE,SET DRESSING BUYERS,Set Decorators
Chernobyl_S01E01_End,EMILIJA EINORYTE,ASSISTANT SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,DARIUS STELMOKAS,ASSISTANT SET DRESSERS,Set Decorators
Chernobyl_S01E01_End,JUSTIN HAYZELDEN,PROP MASTER,Art Department
Chernobyl_S01E01_End,TERRY ROYCE,CHARGEHAND PROPS,Art Department
Chernobyl_S01E01_End,TERRENCE HARRINGTON,CHARGEHAND PROPS,Art Department
Chernobyl_S01E01_End,JOHN BOTTON,CHARGEHAND PROPS,Art Department
Chernobyl_S01E01_End,MARY BURI,ACTION PROP MASTER,Art Department
Chernobyl_S01E01_End,RAMUNAS RASTAUSKAS,ACTION PROPS BUYER,Art Department
Chernobyl_S01E01_End,AURELIJUS GAIDELIONIS,ASSISTANT PROPS,Art Department
Chernobyl_S01E01_End,GYTENIS JANUSAS,ASSISTANT PROPS,Art Department
Chernobyl_S01E01_End,HENRIKAS PIKTUZIS,ASSISTANT PROPS,Art Department
Chernobyl_S01E01_End,SEAN BROAD,LEAD STANDBY PROPS,Art Department
Chernobyl_S01E01_End,EGIDIUS VAITKEVICIUS,STANDBY PROPS,Art Department
Chernobyl_S01E01_End,VYGANDAS VILKONCIUS,ASSISTANT STANDBY PROPS,Art Department
Chernobyl_S01E01_End,TADAS STALYGA,ASSISTANT STANDBY PROPS,Art Department
Chernobyl_S01E01_End,PAULIUS DRANSEIKA,STANDBY CARPENTER,Art Department
Chernobyl_S01E01_End,VITALIJ STRIGUNKOV,STANDBY PAINTER,Art Department
Chernobyl_S01E01_End,DANNY WINSHIP,STOREMAN,Art Department
Chernobyl_S01E01_End,OLEG ZYBALO,ASSISTANT STOREMEN,Art Department
Chernobyl_S01E01_End,ARVYDAS NORVAISAS,ASSISTANT STOREMEN,Art Department
Chernobyl_S01E01_End,AUGUSTAS SAVELIS,STORES ASSISTANTS,Art Department
Chernobyl_S01E01_End,GYTIS DAUKAS,STORES ASSISTANTS,Art Department
Chernobyl_S01E01_End,SIMON HILLS,STORES ASSISTANTS,Art Department
Chernobyl_S01E01_End,JO VAUGHAN,ANIMAL HANDLERS,Additional Crew
Chernobyl_S01E01_End,GWEN GRIFFITHS,ANIMAL HANDLERS,Additional Crew
Chernobyl_S01E01_End,SHERRI WORREL,ANIMAL HUMANE REPRESENTATIVE,Additional Crew
Chernobyl_S01E01_End,KAROLIS GRIGALIUNAS,LITHUANIAN ANIMAL TRAINER,Additional Crew
Chernobyl_S01E01_End,TADAS USTINAVICIUS,ARMOURER,Art Department
Chernobyl_S01E01_End,VYTAS GUDLEVICIUS,KEY GRIP,Camera and Electrical Department
Chernobyl_S01E01_End,HENRIKAS GUDLEVICIUS,BEST BOY GRIP,Camera and Electrical Department
Chernobyl_S01E01_End,MARIUS ZILENAS,GRIPS,Camera and Electrical Department
Chernobyl_S01E01_End,DOVYDAS STRIOGA,GRIPS,Camera and Electrical Department
Chernobyl_S01E01_End,JANNE JANNSEN,DRONE OPERATORS,Camera and Electrical Department
Chernobyl_S01E01_End,CHRISTIAN PELLVING,DRONE OPERATORS,Camera and Electrical Department
Chernobyl_S01E01_End,SIMONAS JAKUBAUSKAS,DRONE OPERATORS,Camera and Electrical Department
Chernobyl_S01E01_End,JONAS BURNICKIS,DRONE OPERATORS,Camera and Electrical Department
Chernobyl_S01E01_End,MATAS JANKAUSKAS,DRONE OPERATORS,Camera and Electrical Department
Chernobyl_S01E01_End,GUSTAV GERDES,DRONE OPERATORS,Camera and Electrical Department
Chernobyl_S01E01_End,GVIDO PUKE,DRONE OPERATORS,Camera and Electrical Department
Chernobyl_S01E01_End,LINAS STANKEVICIUS,Q TAKE OPERATOR,Camera and Electrical Department
Chernobyl_S01E01_End,NIKOLAS VERSECKAS,VIDEO ASSISTANTS,Camera and Electrical Department
Chernobyl_S01E01_End,MATAS JURGINIS,VIDEO ASSISTANTS,Camera and Electrical Department
Chernobyl_S01E01_End,VINCENT PIPONNIER,SOUND RECORDIST,Sound Department
Chernobyl_S01E01_End,NICOLAS FEJOZ,BOOM OPERATOR,Sound Department
Chernobyl_S01E01_End,MARGAUX PEYRE,2ND SOUND ASSISTANT,Sound Department
Chernobyl_S01E01_End,TOBIAS HENRIKSSON,GAFFER,Camera and Electrical Department
Chernobyl_S01E01_End,EGIDIJUS BRAZIUNAS,RIGGING GAFFER,Camera and Electrical Department
Chernobyl_S01E01_End,GIEDRIUS BUKAITIS,BEST BOY,Camera and Electrical Department
Chernobyl_S01E01_End,VIDMANTAS KRALIKAUSKAS,ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,JONAS BALYS PASLAUSKAS,ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,ZYGIMANTAS STROLIA,ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,DMITRIJ SINELSCIKOV,ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,RICARDAS RUTKAUSKAS,ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,JONAS CEPULIS,ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,VADIM POTAPOV,DRESSING ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,JEVGENIJUS LEMESOVAS,DRESSING ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,ANDRIUS KVATAVICIUS,DRESSING ELECTRICIANS,Camera and Electrical Department
Chernobyl_S01E01_End,DAIVA PETRULYTE,ASSISTANT COSTUME DESIGNERS,Costume and Wardrobe Department
Chernobyl_S01E01_End,HOLLY McLEAN,ASSISTANT COSTUME DESIGNERS,Costume and Wardrobe Department
Chernobyl_S01E01_End,ANNA MUNRO,COSTUME SUPERVISORS,Costume and Wardrobe Department
Chernobyl_S01E01_End,SYLVIE ONG,COSTUME SUPERVISORS,Costume and Wardrobe Department
Chernobyl_S01E01_End,GERDA KAJENIENE,WARDROBE SUPERVISOR,Costume and Wardrobe Department
Chernobyl_S01E01_End,RUTA TAMULEVICIENE,CROWD SUPERVISOR,Costume and Wardrobe Department
Chernobyl_S01E01_End,INDRE RAMOSKAITE,MILITARY CROWD SUPERVISOR,Costume and Wardrobe Department
Chernobyl_S01E01_End,DARIUS VERBICKAS,MILITARY ADVISOR,Costume and Wardrobe Department
Chernobyl_S01E01_End,JAN DIECKMANN,CHIEF TEXTILES/BREAKDOWN ARTIST,Costume and Wardrobe Department
Chernobyl_S01E01_End,AKVILE STANKUTE,ON SET COSTUMIERS,Costume and Wardrobe Department
Chernobyl_S01E01_End,BARBORA BOGUSEVICIUTE,ON SET COSTUMIERS,Costume and Wardrobe Department
Chernobyl_S01E01_End,PAULE INSODAITE,ON SET COSTUMIERS,Costume and Wardrobe Department
Chernobyl_S01E01_End,GRAZINA BUCKIENE,COSTUME BUYER,Costume and Wardrobe Department
Chernobyl_S01E01_End,JURGA KLEIZAITE,COSTUME ASSISTANTS,Costume and Wardrobe Department
Chernobyl_S01E01_End,GRETA BUTRIMAVICIUTE,COSTUME ASSISTANTS,Costume and Wardrobe Department
Chernobyl_S01E01_End,GRETA VITKAUSKAITE,COSTUME ASSISTANTS,Costume and Wardrobe Department
Chernobyl_S01E01_End,DALIA VIZGIRDAITE,COSTUME ASSISTANTS,Costume and Wardrobe Department
Chernobyl_S01E01_End,GIEDRE GIRDAUSKAITE,COSTUME ASSISTANTS,Costume and Wardrobe Department
Chernobyl_S01E01_End,VEJUNE TAMULIUNAITE,COSTUME ASSISTANTS,Costume and Wardrobe Department
