nome;is_person;role_detail;role_group;numero_episodio;dubbing_type;imdb_nconst;nome_corretto_imdb;imdb_action;codice_corretto_imdb_umano;nome_corretto_umano
BRENT BEAL;TRUE;Camera Second Assistant;Camera and Electrical Department;Se7en;;nm0063598;Brent Beal;A;;
BRIAN ENO;TRUE;Written by (The Hearts Filthy Lesson);Composers;Se7en;;nm0006061;Brian Eno;A;;
BRIAN EVERS;TRUE;Duty Sergeant;Cast;Se7en;;nm0263634;Brian Evers;A;;
BRIAN MCENTYRE;TRUE;Drivers;Transportation Department;Se7en;;nm0568513;Brian McEntyre;A;;
BRUCE BELLAMY;TRUE;Swing Gang;Art Department;Se7en;;nm0068684;Bruce Bellamy;A;;
CALEB HARRIS;TRUE;Propmakers;Art Department;Se7en;;nm11963730;Caleb Harris;A;;
CARLA FRY;TRUE;Supervising Production Executive;Producers;Se7en;;nm0296735;Carla Fry;A;;
CAROL FOLGATE;TRUE;Assistant Editors;Editorial Department;Se7en;;nm0284243;Carol Folgate;A;;
CHARLIE PARKER;TRUE;Performed by (Now's The Time);Music Department;Se7en;;nm0662127;Charlie Parker;A;;
CHARLINE SU;TRUE;TV News Reporter;Cast;Se7en;;nm0836772;Charline Su;A;;
CHRIS FRANCO;TRUE;Electricians;Camera and Electrical Department;Se7en;;nm0290519;Chris Franco;A;;
CHRIS GIBBIN;TRUE;Lead Man;Art Department;Se7en;;nm0316493;Chris Gibbin;A;;
CHRIS HALSTEAD;TRUE;Apprentice SFX Editors;Sound Department;Se7en;;nm3092803;Chris Halstead;A;;
CHRIS PASCUZZO;TRUE;Swing Gang;Art Department;Se7en;;nm0664495;Chris Pascuzzo;A;;
CHRIS STRONG;TRUE;Chief Lighting Technician;Camera and Electrical Department;Se7en;;nm0834955;Chris Strong;A;;
CINDY DANIELS;TRUE;Stunts;Stunts;Se7en;;nm0199870;Cindy Daniels;A;;
CLAUDIO MIRANDA;TRUE;Gaffer;Camera and Electrical Department;Se7en;;nm0592073;Claudio Miranda;A;;
CLAY A. GRIFFITH;TRUE;Set Decorator;Set Decorators;Se7en;;nm0341463;Clay A. Griffith;A;;
CORI GLAZER;TRUE;Script Supervisor;Script and Continuity Department;Se7en;;nm0322232;Cori Glazer;A;;
DALE HART;TRUE;Propmakers;Art Department;Se7en;;nm0366216;Dale Hart;A;;
DALE MYRAND;TRUE;Steadicam Assistant;Camera and Electrical Department;Se7en;;nm0617089;Dale Myrand;A;;
Dan Kolsrud;TRUE;EXECUTIVE PRODUCERS;Producers;Se7en;;nm0464387;Dan Kolsrud;A;;
DANA SANO;TRUE;Music Executive;Music Department;Se7en;;nm0762946;Dana Sano;A;;
DANIEL ZACAPA;TRUE;Detective Taylor at First Murder;Cast;Se7en;;nm0669254;Daniel Zacapa;A;;
DAREN CORNELL;TRUE;Painter decorators;Art Department;Se7en;;nm0180232;Daren Cornell;A;;
DAREN DOCHTERMAN;TRUE;Illustrators;Art Department;Se7en;;nm0229981;Daren Dochterman;A;;
Darius Khondji;TRUE;DIRECTOR OF PHOTOGRAPHY;Cinematographers;Se7en;;nm0451787;Darius Khondji;A;;
DAVID A. BONINO;TRUE;Labor Tool Room Keepers;Art Department;Se7en;;nm0094697;David A. Bonino;A;;
DAVID BEHLE;TRUE;Recordists;Sound Department;Se7en;;nm0066920;David Behle;A;;
DAVID BOWIE;TRUE;Written by (The Hearts Filthy Lesson);Composers;Se7en;;nm0000309;David Bowie;A;;
DAVID EMMERICHS;TRUE;Steadicam Operator;Camera and Electrical Department;Se7en;;nm0256499;David Emmerichs;A;;
David Fincher;TRUE;DIRECTED BY;Directors;Se7en;;nm0000399;David Fincher;A;;
David Fincher;TRUE;A FILM BY;Directors;Se7en;;nm0000399;David Fincher;A;;
DAVID REALE;TRUE;Avid Assistant;Editorial Department;Se7en;;nm0714034;David Reale;A;;
DAVID TICOTIN;TRUE;Additional Second Assistant Directors;Second Unit Directors or Assistant Directors;Se7en;;nm0862719;David Ticotin;A;;
DAWN SEVERDIA;TRUE;Project Coordinator;Art Department;Se7en;;nm0786279;Dawn Severdia;A;;
DEMIAN ROSENBLATT;TRUE;;Additional Crew;Se7en;;nm0742391;Demian Rosenblatt;A;;
DENNIS MCLEAN;TRUE;Rigging Grips;Camera and Electrical Department;Se7en;;nm0572527;Dennis McLean;A;;
DEVLIN LEREW;TRUE;Propmakers;Art Department;Se7en;;nm6791923;Devlin Lerew;A;;
DEWEY A. REED;TRUE;Drivers;Transportation Department;Se7en;;nm0715385;Dewey A. Reed;A;;
DOMINIQUE JENNINGS;TRUE;TV News Reporter;Cast;Se7en;;nm0005051;Dominique Jennings;A;;
DON YAKLIN;TRUE;Propmakers;Art Department;Se7en;;nm0945037;Don Yaklin;A;;
DONALD REDOGLIA;TRUE;Propmaker Gang Bosses;Art Department;Se7en;;nm0715109;Donald Redoglia;A;;
DUFFY GAVER;TRUE;Marksman in Helicopter;Cast;Se7en;;nm0310484;Duffy Gaver;A;;
EARL FORKRUD;TRUE;Propmakers;Art Department;Se7en;;nm0286298;Earl Forkrud;A;;
ED ARNESON;TRUE;Police Advisors;Additional Crew;Se7en;;nm0036223;Ed Arneson;A;;
ED CORNELL;TRUE;Painter decorators;Art Department;Se7en;;nm0180241;Ed Cornell;A;;
ED MEDIN;TRUE;Electricians;Camera and Electrical Department;Se7en;;nm0575614;Ed Medin;A;;
EDWARD HEYMAN;TRUE;Written by (I Cover The Waterfront);Composers;Se7en;;nm0382269;Edward Heyman;A;;
ELI JIMINEZ;TRUE;Labor Hod;Art Department;Se7en;;nm0422823;Eli Jiminez;A;;
ELIZABETH LAPP;TRUE;Set Designers;Art Department;Se7en;;nm0487757;Elizabeth Lapp;A;;
ELLEN SEGAL;TRUE;Music Editors;Music Department;Se7en;;nm0781775;Ellen Segal;A;;
ELLIOT TYSON;TRUE;Re-Recording Mixers;Sound Department;Se7en;;nm0006525;Elliot Tyson;A;;
EMMETT L. WILLIS;TRUE;Drivers;Transportation Department;Se7en;;nm0932322;Emmett L. Willis;A;;
ENDRE HULES;TRUE;Cab Driver;Cast;Se7en;;nm0401352;Endre Hules;A;;
ERDAL KIZILCAY;TRUE;Written by (The Hearts Filthy Lesson);Composers;Se7en;;nm1454903;Erdal Kizilcay;A;;
ERIC SHERMAN;TRUE;Labor Gang Bosses;Art Department;Se7en;;nm0792436;Eric Sherman;A;;
ERICH BAUMANN;TRUE;Draper;Art Department;Se7en;;nm0062209;Erich Baumann;A;;
ERNEST QUINTERO;TRUE;Palsters;Art Department;Se7en;;nm0704215;Ernest Quintero;A;;
ERNEST VALES;TRUE;Graffiti Artist;Art Department;Se7en;;nm0884630;Ernest Vales;A;;
FLINT MALONEY;TRUE;Location Manager;Location Managers;Se7en;;nm0540550;Flint Maloney;A;;
FLINT MALONEY;TRUE;Assistant Location Manager;Location Managers;Se7en;;nm0540550;Flint Maloney;A;;
FRANCESCA DODD;TRUE;Dialogue Editors;Sound Department;Se7en;;nm0230074;Francesca Dodd;A;;
FRANK DAVIS;TRUE;2nd Assistant Director;Second Unit Directors or Assistant Directors;Se7en;;nm0204609;Frank Davis;A;;
FRED GROSSMAN;TRUE;Accountant;Additional Crew;Se7en;;nm0343639;Fred Grossman;A;;
GARY ARCHER;TRUE;Gold Tooth by;Additional Crew;Se7en;;nm0033664;Gary Archer;A;;
GARY BURRITT;TRUE;Negative Cutting;Editorial Department;Se7en;;nm0123163;Gary Burritt;A;;
GARY J. JOHNSON;TRUE;Drivers;Transportation Department;Se7en;;nm0425122;Gary J. Johnson;A;;
GARY PRICE;TRUE;Stunts;Stunts;Se7en;;nm0696901;Gary Price;A;;
GARY WISSNER;TRUE;Art Director;Art Directors;Se7en;;nm0936636;Gary Wissner;A;;
GASTON TOUCHARD;TRUE;Drivers;Transportation Department;Se7en;;nm0869483;Gaston Touchard;A;;
GENE BORKAN;TRUE;Eli Gould-Greed Victim;Cast;Se7en;;nm0096908;Gene Borkan;A;;
GEORGE ALDEN;TRUE;Drivers;Transportation Department;Se7en;;nm0017459;George Alden;A;;
GEORGE CHRISTY;TRUE;Workman at Door of Somerset's Office;Cast;Se7en;;nm0160690;George Christy;A;;
GEORGE FORTMULLER;TRUE;Key Second Assistant Director;Second Unit Directors or Assistant Directors;Se7en;;nm0287358;George Fortmuller;A;;
GEORGE HARRIS;TRUE;Propmakers;Art Department;Se7en;;nm0364713;George Harris;A;;
GEORGE STEWART;TRUE;Propmakers;Art Department;Se7en;;nm0829399;George Stewart;A;;
Gianni Nunnari;TRUE;EXECUTIVE PRODUCERS;Producers;Se7en;;nm0638089;Gianni Nunnari;A;;
GINNY MARTINO;TRUE;Business Affairs Liasons;Additional Crew;Se7en;;nm0553904;Ginny Martino;A;;
GREG KIMBLE;TRUE;Visual Effects Supervisor;Visual Effects;Se7en;;nm0453881;Greg Kimble;A;;
GREG SOLOMON;TRUE;Key Artists;Art Department;Se7en;;nm9444277;Greg Solomon;A;;
GWYNETH PALTROW;TRUE;Tracy;Cast;Se7en;;nm0000569;Gwyneth Paltrow;A;;
Gwyneth Paltrow;TRUE;;Cast;Se7en;;nm0000569;Gwyneth Paltrow;A;;
HARRIS SAVIDES;TRUE;911 Operator;Cast;Se7en;;nm0767647;Harris Savides;A;;
HAWTHORNE JAMES;TRUE;George the Night Guard at the Library;Cast;Se7en;;nm0416551;Hawthorne James;A;;
Hawthorne James;TRUE;;Cast;Se7en;;nm0416551;Hawthorne James;A;;
HEIDI SCHANZ;TRUE;Pride Victim;Cast;Se7en;;nm0770039;Heidi Schanz;A;;
HENRY KINGI;TRUE;Stunts;Stunts;Se7en;;nm0455437;Henry Kingi;A;;
HOWARD DAVIS;TRUE;2nd Assistant Editor;Editorial Department;Se7en;;nm0204707;Howard Davis;A;;
Howard Shore;TRUE;MUSIC BY;Composers;Se7en;;nm0006290;Howard Shore;A;;
HUGO SANTIAGO;TRUE;Set Designers;Art Department;Se7en;;nm0763588;Hugo Santiago;A;;
IAN CROCKETT;TRUE;Post Production PA;Editorial Department;Se7en;;nm0188405;Ian Crockett;A;;
JACQUES REY;TRUE;Storyboard Artist;Art Department;Se7en;;nm0721095;Jacques Rey;A;;
JAMES A. LUNDIN;TRUE;Drivers;Transportation Department;Se7en;;nm0526497;James A. Lundin;A;;
JAMES DONOHUE;TRUE;Laborers;Art Department;Se7en;;nm0232903;James Donohue;A;;
JAMES FELDMAN;TRUE;Conceptual Artist;Art Department;Se7en;;nm2138477;James Feldman;A;;
JANE GOLDSMITH;TRUE;Additional Script Supervisor;Script and Continuity Department;Se7en;;nm0326082;Jane Goldsmith;A;;
JANET BRADY;TRUE;Stunts;Stunts;Se7en;;nm0103643;Janet Brady;A;;
JAY HARRIS;TRUE;Propmakers;Art Department;Se7en;;nm5935186;Jay Harris;A;;
JEFF CRONENWETH;TRUE;Camera Operator;Camera and Electrical Department;Se7en;;nm0188729;Jeff Cronenweth;A;;
JEFF J. HATTEM;TRUE;Drivers;Transportation Department;Se7en;;nm0368817;Jeff J. Hattem;A;;
JEFFREY KROEBER;TRUE;Assistant SFX Editors;Sound Department;Se7en;;nm0471850;Jeffrey Kroeber;A;;
JENNIFER MCNAMARA;TRUE;Casting Assistant, N.Y.;Casting Directors;Se7en;;nm0573692;Jennifer McNamara;A;;
JERRI WHITEMAN;TRUE;1st Assistant Accountant;Additional Crew;Se7en;;nm0925836;Jerri Whiteman;A;;
JERRY A. OLIVERI;TRUE;Drivers;Transportation Department;Se7en;;nm0647079;Jerry A. Oliveri;A;;
JESSE ROSENFELD;TRUE;Laborers;Art Department;Se7en;;nm0742549;Jesse Rosenfeld;A;;
JIM MCENTYRE;TRUE;Drivers;Transportation Department;Se7en;;nm0568515;Jim McEntyre;A;;
JIMMY DALE HARTSELL;TRUE;Library Janitor;Cast;Se7en;;nm0367211;Jimmy Dale Hartsell;A;;
JOANNE DAVIS;TRUE;Painter decorators;Art Department;Se7en;;nm2291169;Joanne Davis;A;;
JOHN BISTAGNE;TRUE;Propmakers;Art Department;Se7en;;nm0084404;John Bistagne;A;;
JOHN C. MCGINLEY;TRUE;California;Cast;Se7en;;nm0001525;John C. McGinley;A;;
John C. McGinley;TRUE;;Cast;Se7en;;nm0001525;John C. McGinley;A;;
JOHN CASSINI;TRUE;Officer Davis;Cast;Se7en;;nm0144307;John Cassini;A;;
John Cassini;TRUE;;Cast;Se7en;;nm0144307;John Cassini;A;;
JOHN MCGRAHAM;TRUE;Rigging Grips;Camera and Electrical Department;Se7en;;nm0569740;John McGraham;A;;
JOHN NUTT;TRUE;Dialogue Editors;Sound Department;Se7en;;nm0638340;John Nutt;A;;
JOHN SANTIN;TRUE;Helicopter Pilots;Cast;Se7en;;nm0763704;John Santin;A;;
JOHNNY MARTIN;TRUE;Stunts;Stunts;Se7en;;nm11547973;Johnny Martin;A;;
JON MAASO;TRUE;Painter decorators;Art Department;Se7en;;nm0531017;Jon Maaso;A;;
JOSEPH CAMPISE;TRUE;Drivers;Transportation Department;Se7en;;nm0133079;Joseph Campise;A;;
JOSEPH GILMORE;TRUE;Propmakers;Art Department;Se7en;;nm0319548;Joseph Gilmore;A;;
JULIAN WHATLEY;TRUE;First Assistant Camera;Camera and Electrical Department;Se7en;;nm0923620;Julian Whatley;A;;
Julie Araskog;TRUE;;Cast;Se7en;;nm0033144;Julie Araskog;A;;
KANE HODDER;TRUE;Stunts;Stunts;Se7en;;nm0387987;Kane Hodder;A;;
KEITH STEARNS;TRUE;Drivers;Transportation Department;Se7en;;nm0824189;Keith Stearns;A;;
KENNY ENDOSO;TRUE;Stunts;Stunts;Se7en;;nm0256879;Kenny Endoso;A;;
KEVIN MCCOWN;TRUE;Propmakers;Art Department;Se7en;;nm0566684;Kevin McCown;A;;
KEVIN SPACEY;TRUE;John Doe;Cast;Se7en;;nm0000228;Kevin Spacey;A;;
KIM B. CHRISTENSEN;TRUE;Sound Effects Editors;Sound Department;Se7en;;nm0159829;Kim B. Christensen;A;;
KIM COLEMAN;TRUE;Casting Assistant, L.A.;Casting Directors;Se7en;;nm0171109;Kim Coleman;A;;
KYLE COOPER;TRUE;Main and End Titles Designed and Executed by;Visual Effects;Se7en;;nm0178204;Kyle Cooper;A;;
LAFAYE BAKER;TRUE;Stunts;Stunts;Se7en;;nm0048674;LaFaye Baker;A;;
LAMBERT POWELL;TRUE;Special Effects;Special Effects;Se7en;;nm0694200;Lambert Powell;A;;
LANA HALE;TRUE;Copyright Clearances;Additional Crew;Se7en;;nm0354958;Lana Hale;A;;
LARRY MARKET;TRUE;Drivers;Transportation Department;Se7en;;nm0548387;Larry Market;A;;
LASZLO VESZPELLER;TRUE;Propmakers;Art Department;Se7en;;nm0895380;Laszlo Veszpeller;A;;
LAURA P. KRASNOW;TRUE;Assistant Editors;Editorial Department;Se7en;;nm0469948;Laura P. Krasnow;A;;
Leland Orser;TRUE;;Cast;Se7en;;nm0650702;Leland Orser;A;;
LELAND ORSER;TRUE;Crazed Man in Massage Parlor;Cast;Se7en;;nm0650702;Leland Orser;A;;
LENNIE LOFTIN;TRUE;Policeman who takes statement from Vagrant;Cast;Se7en;;nm0517448;Lennie Loftin;A;;
LEOPOLD MOUNEAU, JR.;TRUE;Laborers;Art Department;Se7en;;nm0609810;Leopold Mouneau Jr.;A;;
LEXIE BIGHAM;TRUE;Sweating Cop at Massage Parlor;Cast;Se7en;;nm0081880;Lexie Bigham;A;;
LINDSAY MOFFORD;TRUE;Assistant Editors;Editorial Department;Se7en;;nm0595669;Lindsay Mofford;A;;
LIZ AMSDEN;TRUE;Business Affairs Liasons;Additional Crew;Se7en;;nm0025415;Liz Amsden;A;;
MALCOLM FIFE;TRUE;Foley Editor Supervisor;Sound Department;Se7en;;nm0276497;Malcolm Fife;A;;
MARCO MOJICA;TRUE;Sous Chef;Additional Crew;Se7en;;nm0596268;Marco Mojica;A;;
MARGARET PRENTICE;TRUE;Make-Up Artists;Makeup Department;Se7en;;nm0078642;Margaret Prentice;A;;
MARIO DI DONATO;TRUE;Fingerprint Forensic Man in Law Office;Cast;Se7en;;nm0223790;Mario Di Donato;A;;
MARK ARNESON;TRUE;Police Advisors;Additional Crew;Se7en;;nm0036225;Mark Arneson;A;;
MARK BOONE JUNIOR;TRUE;Greasy F.B.I. Man;Cast;Se7en;;nm0095478;Mark Boone Junior;A;;
Mark Boone Junior;TRUE;;Cast;Se7en;;nm0095478;Mark Boone Junior;A;;
MARK KAUFMAN;TRUE;Music Coordinator;Music Department;Se7en;;nm0442212;Mark Kaufman;A;;
MARK LEVINSON;TRUE;ADR Editors;Sound Department;Se7en;;nm0506071;Mark Levinson;A;;
MARNIE MOORE;TRUE;Foley Artists;Sound Department;Se7en;;nm0601577;Marnie Moore;A;;
MARSHA BOZEMAN;TRUE;Costumers;Costume and Wardrobe Department;Se7en;;nm0007101;Marsha Bozeman;A;;
MARTIN SERENE;TRUE;Wild Bill;Cast;Se7en;;nm0784997;Martin Serene;A;;
MARVIN E. LEWIS;TRUE;Boom Operator;Sound Department;Se7en;;nm0507527;Marvin E. Lewis;A;;
MARVIN GAYE;TRUE;Written by (Trouble Man);Composers;Se7en;;nm0310848;Marvin Gaye;A;;
MARVIN GAYE;TRUE;Performed by (Trouble Man);Music Department;Se7en;;nm0310848;Marvin Gaye;A;;
MELODIE MCDANIEL;TRUE;John Doe's Photographs by;Camera and Electrical Department;Se7en;;nm0567423;Melodie McDaniel;A;;
MICHAEL ALAN KAHN;TRUE;First Assistant Director;Second Unit Directors or Assistant Directors;Se7en;;nm0434884;Michael Alan Kahn;A;;
MICHAEL CHARBONNET;TRUE;Wescam Technician;Camera and Electrical Department;Se7en;;nm0152786;Michael Charbonnet;A;;
MICHAEL CUTLER;TRUE;Office Staff Assistant;Additional Crew;Se7en;;nm1653984;Michael Cutler;A;;
Michael Kaplan;TRUE;COSTUMES DESIGNED BY;Costume Designers;Se7en;;nm0438325;Michael Kaplan;A;;
MICHAEL KELEM;TRUE;Gyrosphere Operator;Camera and Electrical Department;Se7en;;nm0445430;Michael Kelem;A;;
MICHAEL MASSEE;TRUE;Man in Booth at Massage Parlor;Cast;Se7en;;nm0557219;Michael Massee;A;;
Michael Massee;TRUE;;Cast;Se7en;;nm0557219;Michael Massee;A;;
MICHAEL MIKITA, JR.;TRUE;Painter Decorator Gang Bosses;Art Department;Se7en;;nm0586538;Michael Mikita Jr.;A;;
MICHAEL REID MACKAY;TRUE;Victor-Sloth Victim;Cast;Se7en;;nm0533197;Michael Reid MacKay;A;;
MICHAEL S. O'NEAL;TRUE;Propmaker Gang Bosses;Art Department;Se7en;;nm0641922;Michael S. O'Neal;A;;
MICHELE PLATT;TRUE;Associate Producer;Producers;Se7en;;nm0686890;Michele Platt;A;;
MIKE BONNAUD;TRUE;Electricians;Camera and Electrical Department;Se7en;;nm0094815;Mike Bonnaud;A;;
MIKE CUNNINGHAM;TRUE;Prop Assistants;Art Department;Se7en;;nm0192401;Mike Cunningham;A;;
MIKE GARSON;TRUE;Written by (The Hearts Filthy Lesson);Composers;Se7en;;nm0308599;Mike Garson;A;;
MITCH DUBIN;TRUE;Camera Operator;Camera and Electrical Department;Se7en;;nm0239307;Mitch Dubin;A;;
MITCHELL THOMPSON;TRUE;Laborers;Art Department;Se7en;;nm0860517;Mitchell Thompson;A;;
MONTY WESTMORE;TRUE;Make-up Artist;Makeup Department;Se7en;;nm0922881;Monty Westmore;A;;
MONTY WOODARD;TRUE;Electricians;Camera and Electrical Department;Se7en;;nm0940146;Monty Woodard;A;;
Nana Greenwald;TRUE;CO-PRODUCERS;Producers;Se7en;;nm0339248;Nana Greenwald;A;;
NANCY JENCKS;TRUE;Assistant SFX Editors;Sound Department;Se7en;;nm0420691;Nancy Jencks;A;;
NICHOLAS C. JOHN;TRUE;Stand-by Painter;Art Department;Se7en;;nm0424208;Nicholas C. John;A;;
NICHOLAS STEWART;TRUE;Propmakers;Art Department;Se7en;;nm0829694;Nicholas Stewart;A;;
NICK HEYWARD;TRUE;Written by (Love Plus One);Composers;Se7en;;nm1705061;Nick Heyward;A;;
NICO BALLY;TRUE;Grips;Camera and Electrical Department;Se7en;;nm0050945;Nico Bally;A;;
NILO OTERO;TRUE;First Assistant Director;Second Unit Directors or Assistant Directors;Se7en;;nm0652826;Nilo Otero;A;;
PAMALA TYSON;TRUE;Thin Vagrant by John Doe's Apartment;Cast;Se7en;;nm0879181;Pamala Tyson;A;;
Pamala Tyson;TRUE;;Cast;Se7en;;nm0879181;Pamala Tyson;A;;
PAT ROMANO;TRUE;Stunts;Stunts;Se7en;;nm0738939;Pat Romano;A;;
PATRICK BARNETT;TRUE;Kevin Spacey's Double;Stunts;Se7en;;nm2822281;Patrick Barnett;A;;
PATRICK DODD;TRUE;ADR Supervisor;Sound Department;Se7en;;nm0230107;Patrick Dodd;A;;
PATRICK DODD;TRUE;Supervising Sound Editor;Sound Department;Se7en;;nm0230107;Patrick Dodd;A;;
PATRICK L. ELMENDORF;TRUE;Drivers;Transportation Department;Se7en;;nm0255404;Patrick L. Elmendorf;A;;
PAUL HARGRAVE;TRUE;Location Manager;Location Managers;Se7en;;nm0362941;Paul Hargrave;A;;
PAUL PRINCE;TRUE;2nd Assistant Camera;Camera and Electrical Department;Se7en;;nm0697700;Paul Prince;A;;
PAUL PROKOP;TRUE;Production Controller;Production Managers;Se7en;;nm2373782;Paul Prokop;A;;
PAUL TAGLIANETTI;TRUE;;Additional Crew;Se7en;;nm0846581;Paul Taglianetti;A;;
PETE MARTINEZ;TRUE;;Additional Crew;Se7en;;nm0553657;Pete Martinez;A;;
PETER ALBIEZ;TRUE;Special Effects Coordinator;Special Effects;Se7en;;nm0016812;Peter Albiez;A;;
PETER CROMBIE;TRUE;Dr. O'Neill;Cast;Se7en;;nm0188598;Peter Crombie;A;;
Peter Crombie;TRUE;;Cast;Se7en;;nm0188598;Peter Crombie;A;;
PETER DAVIDIAN;TRUE;Electrics Coordinator;Camera and Electrical Department;Se7en;;nm0203127;Peter Davidian;A;;
PETER FRANKFURT;TRUE;Visual Effects and Main Title Producers;Visual Effects;Se7en;;nm0291293;Peter Frankfurt;A;;
PETER SOREL;TRUE;Still Photographer;Camera and Electrical Department;Se7en;;nm0814809;Peter Sorel;A;;
Phyllis Carlyle;TRUE;PRODUCED BY;Producers;Se7en;;nm0138287;Phyllis Carlyle;A;;
QUENTIN PIERRE;TRUE;Assistant to Mr. Freeman;Additional Crew;Se7en;;nm0682652;Quentin Pierre;A;;
R. LEE ERMEY;TRUE;Police Captain;Cast;Se7en;;nm0000388;R. Lee Ermey;A;;
R. Lee Ermey;TRUE;;Cast;Se7en;;nm0000388;R. Lee Ermey;A;;
RAFAEL LOPEZ;TRUE;Painter decorators;Art Department;Se7en;;nm12835215;Rafael López;A;;
RANDY L. THIEDEMAN;TRUE;Drivers;Transportation Department;Se7en;;nm0857866;Randy L. Thiedeman;A;;
RAULL BUTCHER;TRUE;Propmakers;Art Department;Se7en;;nm0124707;Raull Butcher;A;;
REEVES GABRELS;TRUE;Written by (The Hearts Filthy Lesson);Composers;Se7en;;nm0300169;Reeves Gabrels;A;;
REG E. CATHEY;TRUE;Dr. Santiago;Cast;Se7en;;nm0146146;Reg E. Cathey;A;;
REN KLYCE;TRUE;Performed by (Lust);Music Department;Se7en;;nm0460274;Ren Klyce;A;;
REN KLYCE;TRUE;Sound Effects Editors;Sound Department;Se7en;;nm0460274;Ren Klyce;A;;
REN KLYCE;TRUE;Sound Designer/Effects Supervisor;Sound Department;Se7en;;nm0460274;Ren Klyce;A;;
RIC KEELEY;TRUE;Post Production Supervisor;Editorial Department;Se7en;;nm0444541;Ric Keeley;A;;
RICHARD DUARTE;TRUE;Foley Mixers;Sound Department;Se7en;;nm0239137;Richard Duarte;A;;
RICHARD PORTNOW;TRUE;Dr. Beardsley;Cast;Se7en;;nm0692466;Richard Portnow;A;;
Richard Portnow;TRUE;;Cast;Se7en;;nm0692466;Richard Portnow;A;;
RICHARD ROUNDTREE;TRUE;Talbot;Cast;Se7en;;nm0745780;Richard Roundtree;A;;
Richard Roundtree;TRUE;;Cast;Se7en;;nm0745780;Richard Roundtree;A;;
Richard Saperstein;TRUE;CO-EXECUTIVE PRODUCERS;Producers;Se7en;;nm0764552;Richard Saperstein;A;;
RICHARD SCHIFF;TRUE;Mark Swarr;Cast;Se7en;;nm0771493;Richard Schiff;A;;
Richard Schiff;TRUE;;Cast;Se7en;;nm0771493;Richard Schiff;A;;
RICHMOND ARQUETTE;TRUE;Delivery Man;Cast;Se7en;;nm0037118;Richmond Arquette;A;;
RICK CANELLI;TRUE;ADR Recordist;Sound Department;Se7en;;nm0133860;Rick Canelli;A;;
RICK HART;TRUE;Re-Recording Mixers;Sound Department;Se7en;;nm0366494;Rick Hart;A;;
RICK SCHNIER;TRUE;Location Scout;Location Managers;Se7en;;nm0774182;Rick Schnier;A;;
ROB BOTTIN;TRUE;Special Make-up Effects by;Special Effects;Se7en;;nm0001964;Rob Bottin;A;;
ROBBIE WATTS;TRUE;Propmakers;Art Department;Se7en;;nm0915224;Robbie Watts;A;;
ROBERT FLORES;TRUE;Laborers;Art Department;Se7en;;nm0282930;Robert Flores;A;;
ROBERT J. LITT;TRUE;Re-Recording Mixers;Sound Department;Se7en;;nm0514448;Robert J. Litt;A;;
ROBERT S. MENDELSOHN;TRUE;Unit Production Manager;Production Managers;Se7en;;nm0578864;Robert S. Mendelsohn;A;;
ROBERT SCHMECK;TRUE;Laborers;Art Department;Se7en;;nm0772592;Robert Schmeck;A;;
ROBERT W. HARRIS;TRUE;Utility Sound Technician;Sound Department;Se7en;;nm0365261;Robert W. Harris;A;;
ROGER REESE;TRUE;Propmakers;Art Department;Se7en;;nm0716064;Roger Reese;A;;
ROXANNE REAVER;TRUE;Construction Estimator;Art Department;Se7en;;nm0714176;Roxanne Reaver;A;;
RUSSEL HARVEY;TRUE;Painter decorators;Art Department;Se7en;;nm0367707;Russel Harvey;A;;
RUSSELL MCENTYRE;TRUE;Transportation Coordinator;Transportation Department;Se7en;;nm0568519;Russell McEntyre;A;;
Sanford Panitch;TRUE;CO-PRODUCERS;Producers;Se7en;;nm0659529;Sanford Panitch;A;;
SARAH FELPES;TRUE;Apprentice SFX Editors;Sound Department;Se7en;;nm0271557;Sarah Felpes;A;;
SASHA MADZAR;TRUE;Propmakers;Art Department;Se7en;;nm0535298;Sasha Madzar;A;;
SCOTT HARRIS;TRUE;Key Second Assistant Director;Second Unit Directors or Assistant Directors;Se7en;;nm0002405;Scott Harris;A;;
SCOTT WILDER;TRUE;Stunts;Stunts;Se7en;;nm0928627;Scott Wilder;A;;
SEAN CALLERY;TRUE;Assistant SFX Editors;Sound Department;Se7en;;nm0130478;Sean Callery;A;;
SEAN HARGREAVES;TRUE;Illustrators;Art Department;Se7en;;nm0362983;Sean Hargreaves;A;;
SHANNON WILCOX;TRUE;Woman Cop Behind Desk;Cast;Se7en;;nm0928279;Shannon Wilcox;A;;
SHAWN ALBRO;TRUE;Painter decorators;Art Department;Se7en;;nm0017051;Shawn Albro;A;;
SHAWN GOLDSTEIN;TRUE;Electric;Camera and Electrical Department;Se7en;;nm0326324;Shawn Goldstein;A;;
STAN MCCLAIN;TRUE;Wescam Operator;Camera and Electrical Department;Se7en;;nm0565623;Stan McClain;A;;
STERLING CAMPBELL;TRUE;Written by (The Hearts Filthy Lesson);Composers;Se7en;;nm0132866;Sterling Campbell;A;;
STEVE BOEDDEKER;TRUE;Written by (Lust);Composers;Se7en;;nm0006655;Steve Boeddeker;A;;
STEVE BOEDDEKER;TRUE;Performed by (Lust);Music Department;Se7en;;nm0006655;Steve Boeddeker;A;;
STEVE BOEDDEKER;TRUE;Assistant SFX Editors;Sound Department;Se7en;;nm0006655;Steve Boeddeker;A;;
