nome;is_person;role_detail;role_group;numero_episodio
OTELLO FAVA;TRUE;CAPO TRUCCO;Makeup Department;8 1-2
PASQUALE DE SANTIS;TRUE;OPERATORE;Camera and Electrical Department;8 1-2
PIERO GHERARDI;TRUE;SCENOGRAFIA E COSTUMI;Costume Designers;8 1-2
PIERO GHERARDI;TRUE;SCENOGRAFIA E COSTUMI;Production Designers;8 1-2
RENATA MAGNANTI;TRUE;PARRUCCHIERA;Makeup Department;8 1-2
ROSSELLA COMO;TRUE;;Cast;8 1-2
ROSSELLA FALK;TRUE;;Cast;8 1-2
SANDRA MILO;TRUE;;Cast;8 1-2
THE CRITERION COLLECTION;FALSE;;Distributors;8 1-2
Titanus;FALSE;PRODUZIONE ESEGUITA NEGLI STABILIMENTI;Production Companies;8 1-2
TITO MASINI;TRUE;;Cast;8 1-2
TULLIO PINELLI;TRUE;SCENEGGIATURA;Writers;8 1-2
VITO ANZALONE;TRUE;ARREDAMENTO;Set Decorators;8 1-2
YVONNE CASADEI;TRUE;;Cast;8 1-2
"""AU MARCHÈ DE LA BUTTE""";FALSE;;Miscellaneous Companies;Amelie
"""LE VERRE A PIED""";FALSE;;Miscellaneous Companies;Amelie
A. Ginsberg;TRUE;LES JOURS TRISTES | NAOMI;Soundtrack;Amelie
A. Herzog Jr;TRUE;THE CHILD;Soundtrack;Amelie
Abdel Ali Kassou;TRUE;Traitement numÃ©rique;Editorial Department;Amelie
ALAIN CARSOUX;TRUE;Trucages numÃ©riques;Visual Effects;Amelie
Alain Floret;TRUE;le mari de la concierge;Cast;Amelie
Alain Guais;TRUE;Chef constructeur;Art Department;Amelie
ALAIN MOUGENOT;TRUE;RÃ©gie;Location Managers;Amelie
Alberte Garo;TRUE;Figuration;Casting Department;Amelie
Alex Gopher;TRUE;THE CHILD;Soundtrack;Amelie
Alexandre Jeanneret;TRUE;Traitement numÃ©rique;Editorial Department;Amelie
Alexandre Kolasinski;TRUE;Graphistes compositing 'Dutruc';Visual Effects;Amelie
Alexandre Widmer;TRUE;Monteur dialogues;Sound Department;Amelie
Alexis Latrobe;TRUE;THE CHILD;Soundtrack;Amelie
ALINE BONETTO;TRUE;DÃ©cor;Production Designers;Amelie
Amandine Marou;TRUE;Stagiaire;Additional Crew;Amelie
Amaury Babault;TRUE;;Cast;Amelie
André Brizard;TRUE;Graphistes compositing 'Dutruc';Visual Effects;Amelie
André Dussollier;TRUE;Avec la voix de;Cast;Amelie
Andrée Damant;TRUE;;Cast;Amelie
ANNE WERMELINGER;TRUE;Scripte;Script and Continuity Department;Amelie
Antoine Simkine;TRUE;Producteur exÃ©cutif;Visual Effects;Amelie
April;FALSE;;Miscellaneous Companies;Amelie
Arkeion;FALSE;;Miscellaneous Companies;Amelie
Armelle;TRUE;;Cast;Amelie
Arne Meerkamp van Embden;TRUE;Producteur;Producers;Amelie
Arthur Herzog, JR.;TRUE;God Bless The Child, written by;Soundtrack;Amelie
Arthur Shwartz;TRUE;DANCING IN THE DARK;Soundtrack;Amelie
Artistic Palace - Lumiere Unique;FALSE;MatÃ©riel montage image;Miscellaneous Companies;Amelie
Artus de Penguern;TRUE;;Cast;Amelie
Aude Lemercier;TRUE;RepÃ©rages;Location Managers;Amelie
Auditoriums de Boulogne;FALSE;Auditorium;Miscellaneous Companies;Amelie
Audrey Tautou;TRUE;dans;Cast;Amelie
Audrey Tautou;TRUE;;Cast;Amelie
Aurore Ader;TRUE;AssistÃ© de;Visual Effects;Amelie
B. Holiday ;TRUE;THE CHILD;Soundtrack;Amelie
BBC;FALSE;;Miscellaneous Companies;Amelie
Béatrice Mizrahi;TRUE;Renforts;Camera and Electrical Department;Amelie
Billie Holiday;TRUE;God Bless The Child, written by;Soundtrack;Amelie
BMG Music Publishing France;FALSE;Ãditions;Miscellaneous Companies;Amelie
BMG Music Publishing France;FALSE;Ãditions;Music Department;Amelie
BMG Music Vision;FALSE;Avec lâaimable autorisation de;Music Department;Amelie
Bruno Calvo;TRUE;Photographe de plateau;Camera and Electrical Department;Amelie
BRUNO DELBONNEL;TRUE;Directeur de la photographie;Cinematographers;Amelie
Bruno Dubet;TRUE;Chef machiniste;Camera and Electrical Department;Amelie
Bruno Le Provost;TRUE;Graphistes 3D Matte painting;Visual Effects;Amelie
Bureau Parisien du Film - Mairie de Paris;FALSE;avec le concours du;Miscellaneous Companies;Amelie
C. Daniels;TRUE;SWEET AND LOVELY;Soundtrack;Amelie
C.Bourgeois;FALSE;Ãditions;Miscellaneous Companies;Amelie
Cabinet JEAN CHARPENTIER;FALSE;;Miscellaneous Companies;Amelie
CANAL+;FALSE;avec la participation de;Production Companies;Amelie
Capella Istropolitana;FALSE;;Music Department;Amelie
Car Grip;FALSE;MatÃ©riel machinerie;Miscellaneous Companies;Amelie
Carlin;FALSE;Ãditions;Music Department;Amelie
Carlin Music;FALSE;Ãditions;Music Department;Amelie
Cavalier Bleu;FALSE;Producteur exÃ©cutif musique;Music Department;Amelie
Céline de Seynes;TRUE;;Additional Crew;Amelie
Céline Kelepikis;TRUE;Assistante monteur;Editorial Department;Amelie
Chantal Begasse;TRUE;SecrÃ©taire de production;Production Department;Amelie
Chappell Music Ltd;FALSE;;Music Department;Amelie
Charles-Roger Bour;TRUE;l'homme Ã  la vespasienne;Cast;Amelie
Chertok Associates;FALSE;;Miscellaneous Companies;Amelie
Christian Marguerie;TRUE;;Thanks;Amelie
Christiane Bopp;TRUE;la femme prÃ¨s du manÃ¨ge;Cast;Amelie
Christie;FALSE;Projecteur numÃ©rique;Miscellaneous Companies;Amelie
Christophe Antonin;TRUE;RÃ©gisseur de plateau;Location Managers;Amelie
Christophe Belena;TRUE;NumÃ©risation et conformation;Editorial Department;Amelie
Christophe Cottet;TRUE;Transfert vidÃ©o;Additional Crew;Amelie
Christophe Henry;TRUE;Stagiaires;Additional Crew;Amelie
Christophe Maratier;TRUE;Conseillers armes;Property Department;Amelie
Christophe Perotin;TRUE;2e assistant;Camera and Electrical Department;Amelie
CHRISTOPHE VASSORT;TRUE;Premier assistant;Second Unit Directors or Assistant Directors;Amelie
Cine Music;FALSE;Ãditions;Music Department;Amelie
Cinemusic;FALSE;Ãditions;Music Department;Amelie
Cinesyl;FALSE;MatÃ©riel machinerie;Miscellaneous Companies;Amelie
Claire Maurier;TRUE;;Cast;Amelie
Claude Perron;TRUE;;Cast;Amelie
Claudia Dummer-Manasse;TRUE;Assistante de production;Production Department;Amelie
CLAUDIE OSSARD;TRUE;prÃ©sentent;Producers;Amelie
CLAUDIE OSSARD;TRUE;Produit par;Producers;Amelie
Clémentine Darros;TRUE;Stagiaire;Additional Crew;Amelie
Clifford Grey;TRUE;GOT A DATE WITH AN ANGEL;Soundtrack;Amelie
Clotilde Mollet;TRUE;;Cast;Amelie
Coralie Boulay;TRUE;Responsable de l'argentique;Editorial Department;Amelie
Corinne Saglio;TRUE;Administratrice adjointe;Production Finance and Accounting;Amelie
Corinne Sarrut;TRUE;;Thanks;Amelie
Cosmos - Studio Sets;FALSE;Studio France;Miscellaneous Companies;Amelie
Costumes et costumes;FALSE;;Miscellaneous Companies;Amelie
Cyril Dusseaux;TRUE;Stagiaires;Additional Crew;Amelie
D C A;FALSE;MatÃ©riel son - Repiquage;Miscellaneous Companies;Amelie
Dagmar Wessel;TRUE;Assistants dÃ©corateurs;Art Department;Amelie
Daniel Feret;TRUE;Chef menuisier;Art Department;Amelie
Daniel Kolarov;TRUE;Assistants dÃ©corateurs;Art Department;Amelie
Daniel Lenoir;TRUE;;Special Effects;Amelie
Daniel Trujillo Chinchina;TRUE;Graphistes compositing 'Dutruc';Visual Effects;Amelie
Davenport Films;FALSE;;Miscellaneous Companies;Amelie
Déborah Goigoux;TRUE;Stagiaires;Additional Crew;Amelie
Delphine Le Roch;TRUE;ChargÃ©es de projets;Visual Effects;Amelie
Delphine Mabed;TRUE;1er assistante Allemagne;Art Department;Amelie
Delphine Mabed;TRUE;Peintres du 'DÃ©jeuner des Canotiers' de Renoir;Art Department;Amelie
Denis Gastou;TRUE;Factices;Art Department;Amelie
Didier Guyard;TRUE;Peintres patineurs;Art Department;Amelie
Didier Lefouest;TRUE;Coloriste numÃ©rique;Color Department;Amelie
Didier Lizé;TRUE;mixÃ©e par;Music Department;Amelie
Didier Lizé;TRUE;Musique originale enregistrÃ©e par;Music Department;Amelie
Dinah Rauenbusch;TRUE;2e assistant Ã  la rÃ©alisation;Second Unit Directors or Assistant Directors;Amelie
Disques Solid;FALSE;Courtesy of;Music Department;Amelie
Disques Solid;FALSE;;Music Department;Amelie
Dominique Bettenfeld;TRUE;le voisin d'AmÃ©lie;Cast;Amelie
Dominique Colin;TRUE;Cameraman manivelle;Camera and Electrical Department;Amelie
Dominique Galichet;TRUE;Renforts maquillage;Makeup Department;Amelie
Dominique Lepage;TRUE;Machinistes;Camera and Electrical Department;Amelie
Dominique Pinon;TRUE;;Cast;Amelie
Duboi;FALSE;Effets spÃ©ciaux numÃ©riques;Visual Effects;Amelie
DUBOI;TRUE;Trucages numÃ©riques;Visual Effects;Amelie
Duboicolor;FALSE;Laboratoire numÃ©rique;Miscellaneous Companies;Amelie
Duran;FALSE;TÃ©lÃ©cinÃ©ma;Miscellaneous Companies;Amelie
Eclair;FALSE;Laboratoire;Miscellaneous Companies;Amelie
Éditions Musicales Juti;FALSE;droits pour la France et territoires SACEM, Luxembourg;Music Department;Amelie
Edouard Dubois;TRUE;Consultant musical;Music Department;Amelie
Edouard Valton;TRUE;Directeur de production;Production Managers;Amelie
Edward B Marks;FALSE;;Music Department;Amelie
Edward B. Marks Music Inc;FALSE;used courtesy of;Music Department;Amelie
EMI Catalogue Partnership;FALSE;Publishing 1931 by;Music Department;Amelie
EMI Catalogue Partnership;FALSE;Publishing 1931 by;Music Department;Amelie
EMI Feist Catalogue Inc.;FALSE;Europe nÂ°1 et RTL programmes franÃ§ais;Music Department;Amelie
EMI Music Publishing France s.a.;FALSE;c/o;Music Department;Amelie
EMI Robbins Catalogue Inc.;FALSE;Publishing 1931 by;Music Department;Amelie
Emma Lebail;TRUE;CostumiÃ¨res;Costume Designers;Amelie
Ercidan;FALSE;Banc-titre;Miscellaneous Companies;Amelie
Eric Duchene;TRUE;RÃ©gisseurs adjoints;Location Managers;Amelie
Eric Dupressoir;TRUE;Groupiste;Camera and Electrical Department;Amelie
Eric Le Mouel;FALSE;Loges;Miscellaneous Companies;Amelie
Eugène Berthier;TRUE;EugÃ¨ne Kolar;Cast;Amelie
Eva Neufahrt;TRUE;Administratrice de production;Production Finance and Accounting;Amelie
F&M ASSOCIÈS;FALSE;;Miscellaneous Companies;Amelie
F. Schonberger;TRUE;WHISPERING;Soundtrack;Amelie
Fabien Behar;TRUE;le client humiliÃ©;Cast;Amelie
Fabienne Chaudat;TRUE;la femme dans le coma;Cast;Amelie
Fabrice Maux;TRUE;Chef peintre;Art Department;Amelie
Film Images;FALSE;;Miscellaneous Companies;Amelie
FILMSTIFTUNG NRW GmbH;FALSE;et le soutien de la;Production Companies;Amelie
Flora Guiet;TRUE;;Cast;Amelie
France 2 Television;FALSE;;Miscellaneous Companies;Amelie
France 3 Cinema;FALSE;;Production Companies;Amelie
FRANCE 3 CINÉMA;FALSE;;Production Companies;Amelie
France Rail Publicité;FALSE;;Miscellaneous Companies;Amelie
France Telecom Mobiles;FALSE;;Miscellaneous Companies;Amelie
Franck Mettre;TRUE;Repiquage;Sound Department;Amelie
Franck Monier;TRUE;Dominique Bredoteau jeune;Cast;Amelie
Franck-Olivier Bonnet;TRUE;Palace Video;Cast;Amelie
François Aubineau;TRUE;le facteur de la concierge;Cast;Amelie
François Bercovici;TRUE;son copain;Cast;Amelie
François Borgeaud;TRUE;Accessoiriste;Property Department;Amelie
François Dupuy;TRUE;Traitement numÃ©rique;Editorial Department;Amelie
François Paumard;TRUE;Photographe;Camera and Electrical Department;Amelie
François Viaur;TRUE;le patron du bistrot;Cast;Amelie
Frank Niermann;TRUE;Stagiaires;Additional Crew;Amelie
Frankie Pain;TRUE;la marchande de journaux;Cast;Amelie
Frédéric Daugeron;TRUE;Organisateur de fÃªtes;Additional Crew;Amelie
Frédéric Mitterand;TRUE;;Thanks;Amelie
Frédérique Gibert;TRUE;;Thanks;Amelie
G. Arnheim;TRUE;SWEET AND LOVELY;Soundtrack;Amelie
G. Kahn;TRUE;GUILTY;Soundtrack;Amelie
Gaël Exilie;TRUE;Stagiaires;Additional Crew;Amelie
Georges Delerue;TRUE;Musique de;Soundtrack;Amelie
Georges Tornero;TRUE;Graphistes compositing 'Dutruc';Visual Effects;Amelie
Georgi Lazarevsky;TRUE;AssistÃ©e de;Camera and Electrical Department;Amelie
Gérald Weingand;TRUE;l'instituteur;Cast;Amelie
GÉRARD HARDY;TRUE;Montage son;Sound Department;Amelie
Gilles Caussade;TRUE;Directeur financier;Production Finance and Accounting;Amelie
Gregor Hees;TRUE;Constructeurs;Art Department;Amelie
GUILLAUME LAURANT;TRUE;Dialogues;Writers;Amelie
GUILLAUME LAURANT;TRUE;ScÃ©nario;Writers;Amelie
Guillaume Leriche;TRUE;Co-Mixeur;Sound Department;Amelie
Guillaume Uguet;TRUE;NumÃ©risation et conformation;Editorial Department;Amelie
Guillaume Viry;TRUE;le S.D.F.;Cast;Amelie
H. Akst;TRUE;GUILTY;Soundtrack;Amelie
H. Tobias;TRUE;SWEET AND LOVELY;Soundtrack;Amelie
Harms Inc;FALSE;droits pour la France et territoires Sacem;Music Department;Amelie
Harms Inc;FALSE;droits pour la France et territoires Sacem;Music Department;Amelie
Hélène Rey;TRUE;Stagiaire;Additional Crew;Amelie
HERVÉ SCHNEID;TRUE;Montage;Editors;Amelie
HNH International;FALSE;Par accord spÃ©cial entre;Music Department;Amelie
Howard Dietz;TRUE;DANCING IN THE DARK;Soundtrack;Amelie
"I. D. C. ""International Designe Creation""";FALSE;;Miscellaneous Companies;Amelie
I.N.A.;FALSE;;Miscellaneous Companies;Amelie
Ici d’ailleurs;FALSE;Ãditions;Music Department;Amelie
Ici d'ailleurs;FALSE;Ãditions;Miscellaneous Companies;Amelie
Igor Thomas Gerard;TRUE;Assistant crÃ©ateur sonore;Sound Department;Amelie
Isabelle Nanty;TRUE;;Cast;Amelie
Isabelle Sauvanon;TRUE;AttachÃ©e de Presse;Publicity;Amelie
Isis Peyrade;TRUE;Samantha;Cast;Amelie
J. Shaindlin;TRUE;FIRE;Soundtrack;Amelie
Jack Waller;TRUE;GOT A DATE WITH AN ANGEL;Soundtrack;Amelie
Jacques Pelissier;TRUE;RÃ©gisseurs d'extÃ©rieurs;Location Managers;Amelie
Jacques Smerlak;TRUE;Producteur exÃ©cutif musique;Music Department;Amelie
Jacques Viala;TRUE;le client qui humilie son ami;Cast;Amelie
Jamel Debbouze;TRUE;;Cast;Amelie
Jean Darie;TRUE;l'aveugle;Cast;Amelie
Jean Rupert;TRUE;l'opÃ©rÃ© des cloisons nasales;Cast;Amelie
JEAN UMANSKY;TRUE;Son;Sound Department;Amelie
Jean-Baptiste Bonetto;TRUE;;Special Effects;Amelie
Jean-Christophe Duwez;TRUE;Ãlectriciens;Camera and Electrical Department;Amelie
Jean-Christophe Spadaccini;TRUE;Factices;Art Department;Amelie
Jean-Claude Lagniez;TRUE;Cascades voitures;Stunts;Amelie
Jean-Louis Le Bras;TRUE;Perchman;Sound Department;Amelie
Jean-Marc Auriol;TRUE;Peintres patineurs;Art Department;Amelie
JEAN-MARC DESCHAMPS;TRUE;Directeur de production;Production Managers;Amelie
Jean-Marie Vives;TRUE;Graphistes 3D Matte painting;Visual Effects;Amelie
Jean-Paul Rovela;TRUE;Chef de projet 3D;Visual Effects;Amelie
Jean-Philippe Angelini;TRUE;Assistants;Sound Department;Amelie
Jean-Pierre Becker;TRUE;le clochard;Cast;Amelie
JEAN-PIERRE JEUNET;TRUE;ScÃ©nario;Writers;Amelie
JEAN-PIERRE JEUNET;TRUE;Un film de;Directors;Amelie
Jean-Pierre Lelong;TRUE;Bruiteur;Sound Department;Amelie
Jean-Pol Brissart;TRUE;Jacques Grosjean;Cast;Amelie
Jeremy Le Roux;TRUE;Graphistes compositing 'Dutruc';Visual Effects;Amelie
Jérôme Arthuis;TRUE;Coordinateur du projet;Visual Effects;Amelie
Jerry Lucas;TRUE;le petit garÃ§on du SacrÃ©-Coeur;Cast;Amelie
Jim Howe;TRUE;Chefs Ã©lectriciens;Camera and Electrical Department;Amelie
Joël Spinola;TRUE;Ãlectriciens;Camera and Electrical Department;Amelie
JOHN NOLLET;TRUE;Coiffure;Makeup Department;Amelie
John Rawsthorn;TRUE;Constructeurs;Art Department;Amelie
Jonathan Joss;TRUE;le fils du client humiliÃ;Cast;Amelie
Jong;FALSE;Publishing;Music Department;Amelie
Jong;FALSE;;Music Department;Amelie
Jorg Bergen;TRUE;Accessoiristes de plateau;Property Department;Amelie
Jorg Widmer;TRUE;Renfort;Camera and Electrical Department;Amelie
José Sako;TRUE;RepÃ©rages;Location Managers;Amelie
Joseph Tunbridge;TRUE;GOT A DATE WITH AN ANGEL;Soundtrack;Amelie
Juarez Machado;TRUE;;Thanks;Amelie
Julianna Kovacs;TRUE;une cliente de l'Ã©picerie;Cast;Amelie
Julien Janiszewski;TRUE;Typo;Visual Effects;Amelie
Juliette Binaud;TRUE;Stagiaires;Additional Crew;Amelie
K Musik;FALSE;Ãditions;Music Department;Amelie
K Musik;FALSE;Ãditions;Music Department;Amelie
K Musik;FALSE;;Music Department;Amelie
Kapagama;FALSE;Par accord spÃ©cial entre;Music Department;Amelie
Karen Mitrega;TRUE;SecrÃ©taire de production;Production Department;Amelie
Karina Gruais;TRUE;Renforts maquillage;Makeup Department;Amelie
Karine Asure;TRUE;la jolie fille du rendez-vous;Cast;Amelie
Kenneth Cornilse;TRUE;Machinistes;Camera and Electrical Department;Amelie
Kerstin Krötz;TRUE;Assistante accessoiriste;Property Department;Amelie
Kevin Fernandes;TRUE;;Cast;Amelie
Kodak;FALSE;Pellicule;Miscellaneous Companies;Amelie
La Gare de L'Est;FALSE;;Miscellaneous Companies;Amelie
La Gare du Nord,  et Chamoulaud - M. et ;FALSE;;Miscellaneous Companies;Amelie
La Préfecture de Police de Paris;FALSE;;Miscellaneous Companies;Amelie
Labels;FALSE;Musique originale disponible en CD chez;Music Department;Amelie
Labels/Virgin France;FALSE;(P) Ici d'ailleurs;Miscellaneous Companies;Amelie
L'Association des Commerçants de la Rue Lepic;FALSE;;Miscellaneous Companies;Amelie
Laure Fourmental;TRUE;AssistÃ© de;Visual Effects;Amelie
Laurent Clavier;TRUE;Recherche et dÃ©veloppement;Visual Effects;Amelie
Laurent Colet;TRUE;Menuisiers;Art Department;Amelie
LAURENT KOSSAYAN;TRUE;Effets sonores;Sound Department;Amelie
Laurent Thiery;TRUE;Machinistes;Camera and Electrical Department;Amelie
Le Commissariat Central du XVIIIe et M. Anicet;FALSE;;Miscellaneous Companies;Amelie
Leïla Dixmir;TRUE;AssistÃ©s de;Visual Effects;Amelie
Les Deux Moulins, ;FALSE;;Miscellaneous Companies;Amelie
LES VERSAILLAIS;FALSE;Effets spÃ©ciaux;Special Effects Companies;Amelie
Les Versaillais;FALSE;;Special Effects;Amelie
Lionel Kopp;TRUE;Directeur de post-production;Editorial Department;Amelie
Lobster;FALSE;;Miscellaneous Companies;Amelie
Locafete;FALSE;Cantine;Miscellaneous Companies;Amelie
Loïc Bouineau;TRUE;Graphistes compositing 'Dutruc';Visual Effects;Amelie
Lorella Cravotta;TRUE;;Cast;Amelie
Lorenz Hart;TRUE;WITH A SONG IN MY HEART;Soundtrack;Amelie
Lorenzo Belliot;TRUE;Renforts coiffure;Makeup Department;Amelie
Luc Desportes;TRUE;Storyboard;Art Department;Amelie
Luc Palun;TRUE;l'Ã©picier d'Amandine;Cast;Amelie
Lucie Bories;TRUE;AssistÃ©s de;Visual Effects;Amelie
Ludovic Lecouteux;TRUE;Album de Photomatons;Art Department;Amelie
Ludovic Simeon;TRUE;Assistant vidÃ©o;Camera and Electrical Department;Amelie
M. Chamoulaud;TRUE;;Thanks;Amelie
M. CROS;TRUE;;Thanks;Amelie
M. Delattre;TRUE;;Thanks;Amelie
M. Derrien;TRUE;;Thanks;Amelie
M. Doughy;TRUE;;Thanks;Amelie
M. Forte;TRUE;;Thanks;Amelie
M. Hains;TRUE;;Thanks;Amelie
M. Hamon;TRUE;;Soundtrack;Amelie
M. Haubensack;TRUE;;Thanks;Amelie
M. Labbe;TRUE;;Thanks;Amelie
M. Langlois;TRUE;;Thanks;Amelie
M. Schonberger;TRUE;WHISPERING;Soundtrack;Amelie
M. Souverain;TRUE;;Thanks;Amelie
MADELINE FONTAINE;TRUE;Costumes;Costume Designers;Amelie
Mady Malroux;TRUE;les jumelles;Cast;Amelie
Maison SAINT PHILIPPE;FALSE;;Miscellaneous Companies;Amelie
Marc Amyot;TRUE;l'inconnu des photomatons;Cast;Amelie
Marc Bruckert;TRUE;Typo;Visual Effects;Amelie
Marc Grewe;TRUE;Directeur de production;Production Managers;Amelie
Marc Lehingrat;TRUE;RÃ©gisseurs d'extÃ©rieurs;Location Managers;Amelie
Marc Rovere;TRUE;Rippeur;Art Department;Amelie
Marc Von Kuk;TRUE;Ãlectriciens;Camera and Electrical Department;Amelie
Marco Paccosi;TRUE;Retouches Matador;Visual Effects;Amelie
Marie-Laure Compain;TRUE;SecrÃ©taire de production;Production Department;Amelie
Marie-Laure Descoureaux;TRUE;la concierge du mort;Cast;Amelie
Marie-Laure Valla;TRUE;EnsembliÃ¨re;Art Department;Amelie
Marilena Cavola Hardy;TRUE;Assistante monteur son;Sound Department;Amelie
Mario Melchiorri;TRUE;Assistant bruiteur;Sound Department;Amelie
Marion Pressburger;TRUE;petites mains du gÃ©nÃ©rique;Cast;Amelie
Mark Voit;TRUE;Stagiaires;Additional Crew;Amelie
Marques et Films;FALSE;PublicitÃ©;Miscellaneous Companies;Amelie
Martine Veille;TRUE;Peintres patineurs;Art Department;Amelie
Mathieu Junot;TRUE;1er assistant;Art Department;Amelie
Mathieu Kassovitz;TRUE;dans;Cast;Amelie
Mathieu Kassovitz;TRUE;;Cast;Amelie
Mathieu Le Meur;TRUE;AssistÃ©s de;Visual Effects;Amelie
Matthieu Bastid;TRUE;1er assistant;Camera and Electrical Department;Amelie
Maurice Bénichou;TRUE;;Cast;Amelie
MCA Records;FALSE;used courtesy of;Music Department;Amelie
Metropark Music;FALSE;Ãditions;Music Department;Amelie
Michael A. Rosenberg;TRUE;;Thanks;Amelie
Michael Belin;TRUE;Assistant TÃ©lÃ©cinÃ©ma;Editorial Department;Amelie
Michael Sowa;TRUE;CrÃ©ateur des personnages animÃ©s;Animation Department;Amelie
Michel Filippi;TRUE;Post-synchro;Sound Department;Amelie
Michel Folco;TRUE;d'aprÃ¨s la collection originale de;Additional Crew;Amelie
Michel Robin;TRUE;;Cast;Amelie
Michel Sabourdy;TRUE;Chefs Ã©lectriciens;Camera and Electrical Department;Amelie
