nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
Ian Hashtings;TRUE;Reg McKinney;Cast;Prime Suspect S01E01;nm0368587;Ian Hastings;M;nm0368587;Ian Hastings;M;nm0368587;Ian Hastings;M;nm0368587;Ian Hastings;M;nm0368587;Ian Hastings;M;;Ian Hashtings;X;;Ian Hashtings;X;;
Ian Hills;TRUE;Boom Operator;Sound Department;Prime Suspect S01E01;nm0385128;Ian Hills;A;nm0385128;Ian Hills;A;nm0385128;Ian Hills;A;nm0385128;Ian Hills;A;nm0385128;Ian Hills;A;nm0385128;Ian Hills;A;nm0385128;Ian Hills;A;;
IAN KESTLE;TRUE;Graphics;Art Department;The World At War S01E03;nm0450455;Ian Kestle;A;nm0450455;Ian Kestle;A;nm0450455;Ian Kestle;A;nm0450455;Ian Kestle;A;nm0450455;Ian Kestle;A;nm0450455;Ian Kestle;A;nm0450455;Ian Kestle;A;;
IBÁN CASÁS BAMIO;TRUE;Especialistas;Stunts;El desorden que dejas S01E03;;IBÁN CASÁS BAMIO;X;;IBÁN CASÁS BAMIO;X;;IBÁN CASÁS BAMIO;X;;IBÁN CASÁS BAMIO;X;;IBÁN CASÁS BAMIO;X;;IBÁN CASÁS BAMIO;X;;IBÁN CASÁS BAMIO;X;;
IEVA BUZINSKAITE;TRUE;Art Department Coordinator;Art Department;Chernobyl S01E01;nm4886387;Ieva Buzinskaite;A;nm4886387;Ieva Buzinskaite;A;nm4886387;Ieva Buzinskaite;A;nm4886387;Ieva Buzinskaite;A;nm4886387;Ieva Buzinskaite;A;nm4886387;Ieva Buzinskaite;A;nm4886387;Ieva Buzinskaite;A;;
SUZANNE HARGROVE;TRUE;Assistant to Gregg Fienberg;Additional Crew;Twin Peaks S01E03;nm2597628;Suzanne Hargrove;A;nm2597628;Suzanne Hargrove;A;nm2597628;Suzanne Hargrove;A;nm2597628;Suzanne Hargrove;A;nm2597628;Suzanne Hargrove;A;nm2597628;Suzanne Hargrove;A;nm2597628;Suzanne Hargrove;A;;
IEVA ROJUTE;TRUE;Set Dressing Buyers;Art Department;Chernobyl S01E01;nm7828679;Ieva Rojute;A;nm7828679;Ieva Rojute;A;nm7828679;Ieva Rojute;A;nm7828679;Ieva Rojute;A;nm7828679;Ieva Rojute;A;nm7828679;Ieva Rojute;A;nm7828679;Ieva Rojute;A;;
IEVA SVITOJUTE;TRUE;Production Coordinators;Production Department;Chernobyl S01E01;nm6967258;Ieva Svitojute;A;nm6967258;Ieva Svitojute;A;nm6967258;Ieva Svitojute;A;nm6967258;Ieva Svitojute;A;nm6967258;Ieva Svitojute;A;nm6967258;Ieva Svitojute;A;nm6967258;Ieva Svitojute;A;;
IGNACIO FERNÁNDEZ;TRUE;Arte;Art Department;El desorden que dejas S01E03;;IGNACIO FERNÁNDEZ;X;;IGNACIO FERNÁNDEZ;X;;IGNACIO FERNÁNDEZ;X;;IGNACIO FERNÁNDEZ;X;;IGNACIO FERNÁNDEZ;X;;IGNACIO FERNÁNDEZ;X;;IGNACIO FERNÁNDEZ;X;;
IEVA MISIULAITYTÈ;TRUE;Assistant to Johan Renck;Additional Crew;Chernobyl S01E01;nm11360561;Ieva Misiulaityte;A;nm11360561;Ieva Misiulaityte;A;nm11360561;Ieva Misiulaityte;A;nm11360561;Ieva Misiulaityte;A;nm11360561;Ieva Misiulaityte;A;nm11360561;Ieva Misiulaityte;A;nm11360561;Ieva Misiulaityte;A;;
AHLEM BATSI;TRUE;ASSISTANT TO LINE PRODUCER;Production Department;Dark S01E09;nm4915693;Ahlem Batsi;A;nm4915693;Ahlem Batsi;A;nm4915693;Ahlem Batsi;A;nm4915693;Ahlem Batsi;A;nm4915693;Ahlem Batsi;A;nm4915693;Ahlem Batsi;A;nm4915693;Ahlem Batsi;A;;
Ilaria Avanzi;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;;
Ilary Rossi;TRUE;Segretaria Edizione II Unita;Script and Continuity Department;Romanzo criminale S01E01;nm4724548;Ilary Rossi;A;nm4724548;Ilary Rossi;A;nm4724548;Ilary Rossi;A;nm4724548;Ilary Rossi;A;nm4724548;Ilary Rossi;A;nm4724548;Ilary Rossi;A;nm4724548;Ilary Rossi;A;;
İlham Erdoğan;TRUE;Gabriel Acebedo;Voice Actors - Dubbing;El desorden que dejas S01E03;;İlham Erdoğan;X;;İlham Erdoğan;X;;İlham Erdoğan;X;;İlham Erdoğan;X;;İlham Erdoğan;X;;İlham Erdoğan;X;;İlham Erdoğan;X;;
Ilka Teichmüller;TRUE;Isa;Voice Actors - Dubbing;El desorden que dejas S01E03;nm0853985;Ilka Teichmüller;A;nm0853985;Ilka Teichmüller;A;nm0853985;Ilka Teichmüller;A;nm0853985;Ilka Teichmüller;A;nm0853985;Ilka Teichmüller;A;nm0853985;Ilka Teichmüller;A;nm0853985;Ilka Teichmüller;A;;
İlker Güler;TRUE;Roi;Voice Actors - Dubbing;El desorden que dejas S01E03;;İlker Güler;X;;İlker Güler;X;;İlker Güler;X;;İlker Güler;X;;İlker Güler;X;;İlker Güler;X;;İlker Güler;X;;
PAULA K. SHIMATSU-U;TRUE;Assistant to Mark Frost;Additional Crew;Twin Peaks S01E03;nm2596687;Paula K. Shimatsu-u;A;nm2596687;Paula K. Shimatsu-u;A;nm2596687;Paula K. Shimatsu-u;A;nm2596687;Paula K. Shimatsu-u;A;nm2596687;Paula K. Shimatsu-u;A;nm2596687;Paula K. Shimatsu-u;A;nm2596687;Paula K. Shimatsu-u;A;;
Ilma Caccavale;TRUE;;Thanks;La grande bellezza;;Ilma Caccavale;X;;Ilma Caccavale;X;;Ilma Caccavale;X;;Ilma Caccavale;X;;Ilma Caccavale;X;;Ilma Caccavale;X;;Ilma Caccavale;X;;
Ilona Schulz;TRUE;CarmÃ­na;Voice Actors - Dubbing;El desorden que dejas S01E03;;Ilona Schulz;X;;Ilona Schulz;X;;Ilona Schulz;X;;Ilona Schulz;X;;Ilona Schulz;X;;Ilona Schulz;X;;Ilona Schulz;X;;
Ilse Layer;TRUE;Ãbersetzung;Dubbing;El desorden que dejas S01E03;;Ilse Layer;X;;Ilse Layer;X;;Ilse Layer;X;;Ilse Layer;X;;Ilse Layer;X;;Ilse Layer;X;;Ilse Layer;X;;
IMOGEN KNIGHT;TRUE;Movement Coach;Choreography;Chernobyl S01E01;nm6313852;Imogen Knight;A;nm6313852;Imogen Knight;A;nm6313852;Imogen Knight;A;nm6313852;Imogen Knight;A;nm6313852;Imogen Knight;A;nm6313852;Imogen Knight;A;nm6313852;Imogen Knight;A;;
DELUXE SPAIN;FALSE;Estudio de PostproducciÃ³n;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
DEMETRIO;FALSE;Alquiler CamiÃ³n CÃ¡mara;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
INA STAHNSDORF-NOVOTNY;TRUE;ACCOUNTANT;Production Finance and Accounting;Dark S01E09;nm9238596;Ina Stahnsdorf-Novotny;A;nm9238596;Ina Stahnsdorf-Novotny;A;nm9238596;Ina Stahnsdorf-Novotny;A;nm9238596;Ina Stahnsdorf-Novotny;A;nm9238596;Ina Stahnsdorf-Novotny;A;nm9238596;Ina Stahnsdorf-Novotny;A;nm9238596;Ina Stahnsdorf-Novotny;A;;
IÑAKI BERAZA;TRUE;1â¢ Ayudantes de DirecciÃ³n;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;;
IÑAKI BERAZA;TRUE;Coordinador de DirecciÃ³n;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;nm1175035;Iñaki Beraza;A;;
INDRE RAMOSKAITE;TRUE;Military Crowd Supervisor;Costume and Wardrobe Department;Chernobyl S01E01;nm1306280;Indre Ramoskaite;A;nm1306280;Indre Ramoskaite;A;nm1306280;Indre Ramoskaite;A;nm1306280;Indre Ramoskaite;A;nm1306280;Indre Ramoskaite;A;nm1306280;Indre Ramoskaite;A;nm1306280;Indre Ramoskaite;A;;
INES KRAMER;TRUE;SET DESIGNERS;Art Department;Dark S01E09;nm5494047;Ines Kramer;A;nm5494047;Ines Kramer;A;nm5494047;Ines Kramer;A;nm5494047;Ines Kramer;A;nm5494047;Ines Kramer;A;nm5494047;Ines Kramer;A;nm5494047;Ines Kramer;A;;
INES KRÜGER;TRUE;SENIOR COMPOSITING ARTISTS;Visual Effects;Dark S01E09;nm0473231;Ines Krüger;A;nm0473231;Ines Krüger;A;nm0473231;Ines Krüger;A;nm0473231;Ines Krüger;A;nm0473231;Ines Krüger;A;nm0473231;Ines Krüger;A;nm0473231;Ines Krüger;A;;
INÉS NUÑO DEL BARRIO;TRUE;Auxiliares de CÃ¡mara;Camera and Electrical Department;El desorden que dejas S01E03;;INÉS NUÑO DEL BARRIO;X;;INÉS NUÑO DEL BARRIO;X;;INÉS NUÑO DEL BARRIO;X;;INÉS NUÑO DEL BARRIO;X;;INÉS NUÑO DEL BARRIO;X;;INÉS NUÑO DEL BARRIO;X;;INÉS NUÑO DEL BARRIO;X;;
Inese Briede;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;
INGA ROSS;TRUE;DAILY MAKE-UP & HAIR;Makeup Department;Dark S01E09;nm4513220;Inga Ross;A;nm4513220;Inga Ross;A;nm4513220;Inga Ross;A;nm4513220;Inga Ross;A;nm4513220;Inga Ross;A;nm4513220;Inga Ross;A;nm4513220;Inga Ross;A;;
INGA YURCHENKO;TRUE;Accomodation Service;Additional Crew;Chernobyl S01E01;nm1604881;A. Yurchenko;M;;INGA YURCHENKO;X;;INGA YURCHENKO;X;;INGA YURCHENKO;X;;INGA YURCHENKO;X;;INGA YURCHENKO;X;;INGA YURCHENKO;X;Assente;
IÑIGO GÓMEZ;TRUE;MasterizaciÃ³n VOD;Editorial Department;El desorden que dejas S01E03;nm3926836;Íñigo Gómez;A;nm3926836;Íñigo Gómez;A;nm3926836;Íñigo Gómez;A;nm3926836;Íñigo Gómez;A;nm3926836;Íñigo Gómez;A;nm3926836;Íñigo Gómez;A;nm3926836;Íñigo Gómez;A;;
INMA CUESTA;TRUE;;Cast;El desorden que dejas S01E03;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;;
INMA CUESTA;TRUE;;Cast;El desorden que dejas S01E03;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;nm2285844;Inma Cuesta;A;;
INMA FERNÁNDEZ-MONTES;TRUE;CoordinaciÃ³n de PostproducciÃ³n;Editorial Department;El desorden que dejas S01E03;nm9788310;Inma Fernández-Montes;A;nm9788310;Inma Fernández-Montes;A;nm9788310;Inma Fernández-Montes;A;nm9788310;Inma Fernández-Montes;A;nm9788310;Inma Fernández-Montes;A;nm9788310;Inma Fernández-Montes;A;nm9788310;Inma Fernández-Montes;A;;
INNA KOKOREVA;TRUE;Financial Managers;Production Finance and Accounting;Chernobyl S01E01;;INNA KOKOREVA;X;;INNA KOKOREVA;X;;INNA KOKOREVA;X;;INNA KOKOREVA;X;;INNA KOKOREVA;X;;INNA KOKOREVA;X;;INNA KOKOREVA;X;;
ION SANZ;TRUE;Artistas VFX;Visual Effects;El desorden que dejas S01E03;nm2699256;Ion Saenz;M;nm2699256;Ion Saenz;M;nm2699256;Ion Saenz;M;nm2699256;Ion Saenz;M;;ION SANZ;X;;ION SANZ;X;;ION SANZ;X;;
IRENA DU BARRY;TRUE;Rosa Calletano;Cast;Hill Street Blues S01E13;;IRENA DU BARRY;X;;IRENA DU BARRY;X;;IRENA DU BARRY;X;;IRENA DU BARRY;X;;IRENA DU BARRY;X;;IRENA DU BARRY;X;;IRENA DU BARRY;X;;
IRENE BERCIANO;TRUE;;Cast;El desorden que dejas S01E03;nm12138734;Irene Berciano;A;nm12138734;Irene Berciano;A;nm12138734;Irene Berciano;A;nm12138734;Irene Berciano;A;nm12138734;Irene Berciano;A;nm12138734;Irene Berciano;A;nm12138734;Irene Berciano;A;;
Irene Miras;TRUE;MARTHA;Voice Actors - Dubbing;Dark S01E09;nm9369714;Irene Miràs;A;nm9369714;Irene Miràs;A;nm9369714;Irene Miràs;A;nm9369714;Irene Miràs;A;nm9369714;Irene Miràs;A;nm9369714;Irene Miràs;A;nm9369714;Irene Miràs;A;;
IRIA VARELA;TRUE;ElÃ©ctricos y Maquinistas;Camera and Electrical Department;El desorden que dejas S01E03;nm8329956;Iria Varela;A;nm8329956;Iria Varela;A;nm8329956;Iria Varela;A;nm8329956;Iria Varela;A;nm8329956;Iria Varela;A;nm8329956;Iria Varela;A;nm8329956;Iria Varela;A;;
IRINA AVDEEVA;TRUE;Art Department Coordinator;Art Department;Chernobyl S01E01;;IRINA AVDEEVA;X;;IRINA AVDEEVA;X;;IRINA AVDEEVA;X;;IRINA AVDEEVA;X;;IRINA AVDEEVA;X;;IRINA AVDEEVA;X;;IRINA AVDEEVA;X;;
IRINA NOVIK;TRUE;Ironing Lady;Costume and Wardrobe Department;Chernobyl S01E01;nm13053979;Irina Novik;A;nm13053979;Irina Novik;A;nm13053979;Irina Novik;A;nm13053979;Irina Novik;A;nm13053979;Irina Novik;A;nm13053979;Irina Novik;A;nm13053979;Irina Novik;A;;
IRKA B. SENG;TRUE;Digital Effects Coordinator;Visual Effects;Fight Club;nm0784245;Irka B. Seng;A;nm0784245;Irka B. Seng;A;nm0784245;Irka B. Seng;A;nm0784245;Irka B. Seng;A;nm0784245;Irka B. Seng;A;nm0784245;Irka B. Seng;A;nm0784245;Irka B. Seng;A;;
Irma Basile;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;
IRMANTAS KAVALIAUSKAS;TRUE;Military Costume Props;Costume and Wardrobe Department;Chernobyl S01E01;;IRMANTAS KAVALIAUSKAS;X;;IRMANTAS KAVALIAUSKAS;X;;IRMANTAS KAVALIAUSKAS;X;;IRMANTAS KAVALIAUSKAS;X;;IRMANTAS KAVALIAUSKAS;X;;IRMANTAS KAVALIAUSKAS;X;;IRMANTAS KAVALIAUSKAS;X;;
IRWIN YABLANS;TRUE;U.S. & Canadian Producer's Representative;Sales Representatives / ISA;Apocalypse Now;nm0944748;Irwin Yablans;A;nm0944748;Irwin Yablans;A;nm0944748;Irwin Yablans;A;nm0944748;Irwin Yablans;A;nm0944748;Irwin Yablans;A;nm0944748;Irwin Yablans;A;nm0944748;Irwin Yablans;A;;
STEFANIE AZPIAZU;TRUE;assistant to mr. bregman;Additional Crew;Eternal Sunshine of the Spotless Mind;nm1282412;Stefanie Azpiazu;A;nm1282412;Stefanie Azpiazu;A;nm1282412;Stefanie Azpiazu;A;nm1282412;Stefanie Azpiazu;A;nm1282412;Stefanie Azpiazu;A;nm1282412;Stefanie Azpiazu;A;nm1282412;Stefanie Azpiazu;A;;
ISABEL GARRIDO;TRUE;;Cast;El desorden que dejas S01E03;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;
ISABEL GARRIDO;TRUE;;Cast;El desorden que dejas S01E03;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;ISABEL GARRIDO;X;;
Isabel Lira;TRUE;Iria;Voice Actors - Dubbing;El desorden que dejas S01E03;nm14689388;Isabel Li;M;nm14689388;Isabel Li;M;;Isabel Lira;X;;Isabel Lira;X;;Isabel Lira;X;;Isabel Lira;X;;Isabel Lira;X;Assente;
ISABEL REGA;TRUE;Foquista;Camera and Electrical Department;El desorden que dejas S01E03;nm1850555;Isabel Rega;A;nm1850555;Isabel Rega;A;nm1850555;Isabel Rega;A;nm1850555;Isabel Rega;A;nm1850555;Isabel Rega;A;nm1850555;Isabel Rega;A;nm1850555;Isabel Rega;A;;
Isabela Quadros;TRUE;Carmen;Voice Actors - Dubbing;El desorden que dejas S01E03;nm7992971;Isabela Quadros;A;nm7992971;Isabela Quadros;A;nm7992971;Isabela Quadros;A;nm7992971;Isabela Quadros;A;nm7992971;Isabela Quadros;A;nm7992971;Isabela Quadros;A;nm7992971;Isabela Quadros;A;;
ISABELL CISSARZ;TRUE;DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09;nm9238663;Isabell Cissarz;A;nm9238663;Isabell Cissarz;A;nm9238663;Isabell Cissarz;A;nm9238663;Isabell Cissarz;A;nm9238663;Isabell Cissarz;A;nm9238663;Isabell Cissarz;A;nm9238663;Isabell Cissarz;A;;
Isabella Ferrari;TRUE;e con;Cast;La grande bellezza;;Isabella Ferrari;X;;Isabella Ferrari;X;;Isabella Ferrari;X;;Isabella Ferrari;X;;Isabella Ferrari;X;;Isabella Ferrari;X;;Isabella Ferrari;X;;
Isabella Guarnieri;TRUE;;Voice Actors - Dubbing;Dark S01E09;;Isabella Guarnieri;X;;Isabella Guarnieri;X;;Isabella Guarnieri;X;;Isabella Guarnieri;X;;Isabella Guarnieri;X;;Isabella Guarnieri;X;;Isabella Guarnieri;X;;
ISABELLE HAULIN;TRUE;Software Development;Visual Effects;Fight Club;nm0369405;Isabelle Haulin;A;nm0369405;Isabelle Haulin;A;nm0369405;Isabelle Haulin;A;nm0369405;Isabelle Haulin;A;nm0369405;Isabelle Haulin;A;nm0369405;Isabelle Haulin;A;nm0369405;Isabelle Haulin;A;;
Isabelle Laratte;TRUE;Consulenza legale Babe Films;Legal Department;La grande bellezza;nm5027597;Isabelle Laratte;A;nm5027597;Isabelle Laratte;A;nm5027597;Isabelle Laratte;A;nm5027597;Isabelle Laratte;A;nm5027597;Isabelle Laratte;A;nm5027597;Isabelle Laratte;A;nm5027597;Isabelle Laratte;A;;
Isabelle Nanty;TRUE;;Cast;Amelie;nm0620964;Isabelle Nanty;A;nm0620964;Isabelle Nanty;A;nm0620964;Isabelle Nanty;A;nm0620964;Isabelle Nanty;A;nm0620964;Isabelle Nanty;A;nm0620964;Isabelle Nanty;A;nm0620964;Isabelle Nanty;A;;
Isabelle Sauvanon;TRUE;AttachÃ©e de Presse;Publicity;Amelie;nm0767170;Isabelle Sauvanon;A;nm0767170;Isabelle Sauvanon;A;nm0767170;Isabelle Sauvanon;A;nm0767170;Isabelle Sauvanon;A;nm0767170;Isabelle Sauvanon;A;nm0767170;Isabelle Sauvanon;A;nm0767170;Isabelle Sauvanon;A;;
Isaura Gomes;TRUE;;Voice Actors - Dubbing;Dark S01E09;;Isaura Gomes;X;;Isaura Gomes;X;;Isaura Gomes;X;;Isaura Gomes;X;;Isaura Gomes;X;;Isaura Gomes;X;;Isaura Gomes;X;;
Isis Peyrade;TRUE;Samantha;Cast;Amelie;nm0678968;Isis Peyrade;A;nm0678968;Isis Peyrade;A;nm0678968;Isis Peyrade;A;nm0678968;Isis Peyrade;A;nm0678968;Isis Peyrade;A;nm0678968;Isis Peyrade;A;nm0678968;Isis Peyrade;A;;
ISMAEL RODRÍGUEZ;TRUE;;Cast;El desorden que dejas S01E03;;ISMAEL RODRÍGUEZ;X;;ISMAEL RODRÍGUEZ;X;;ISMAEL RODRÍGUEZ;X;;ISMAEL RODRÍGUEZ;X;;ISMAEL RODRÍGUEZ;X;;ISMAEL RODRÍGUEZ;X;;ISMAEL RODRÍGUEZ;X;;
ISOBEL HINSHELWOOD;TRUE;Stills Research;Additional Crew;The World At War S01E03;nm0385906;Isobel Hinshelwood;A;nm0385906;Isobel Hinshelwood;A;nm0385906;Isobel Hinshelwood;A;nm0385906;Isobel Hinshelwood;A;nm0385906;Isobel Hinshelwood;A;nm0385906;Isobel Hinshelwood;A;nm0385906;Isobel Hinshelwood;A;;
Ítalo Luiz;TRUE;Iago;Voice Actors - Dubbing;El desorden que dejas S01E03;;Ítalo Luiz;X;;Ítalo Luiz;X;;Ítalo Luiz;X;;Ítalo Luiz;X;;Ítalo Luiz;X;;Ítalo Luiz;X;;Ítalo Luiz;X;;
ITATÍ MOYANO;TRUE;1â¢ Ayudantes de DirecciÃ³n;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;nm1301174;Itatí Moyano;A;nm1301174;Itatí Moyano;A;nm1301174;Itatí Moyano;A;nm1301174;Itatí Moyano;A;nm1301174;Itatí Moyano;A;nm1301174;Itatí Moyano;A;nm1301174;Itatí Moyano;A;;
IVAN ARAPOV;TRUE;Sound Mixer;Sound Department;Chernobyl S01E01;nm14598767;Ivan Arapov;A;nm14598767;Ivan Arapov;A;nm14598767;Ivan Arapov;A;nm14598767;Ivan Arapov;A;nm14598767;Ivan Arapov;A;nm14598767;Ivan Arapov;A;nm14598767;Ivan Arapov;A;;
IVÁN BELLO;TRUE;ElÃ©ctricos;Camera and Electrical Department;El desorden que dejas S01E03;;IVÁN BELLO;X;;IVÁN BELLO;X;;IVÁN BELLO;X;;IVÁN BELLO;X;;IVÁN BELLO;X;;IVÁN BELLO;X;;IVÁN BELLO;X;;
Ivan Casalgrandi;TRUE;Direttore Fotografia II Unita;Camera and Electrical Department;Romanzo criminale S01E01;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;;
Ivan Casalgrandi;TRUE;Operatore di Macchina;Camera and Electrical Department;Romanzo criminale S01E01;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;nm0142834;Ivan Casalgrandi;A;;
IVAN FERNÁNDEZ ÁLVAREZ;TRUE;ProducciÃ³n;Production Department;El desorden que dejas S01E03;nm14949533;Silvia Álvarez Fernández;M;nm14949533;Silvia Álvarez Fernández;M;;IVAN FERNÁNDEZ ÁLVAREZ;X;;IVAN FERNÁNDEZ ÁLVAREZ;X;;IVAN FERNÁNDEZ ÁLVAREZ;X;;IVAN FERNÁNDEZ ÁLVAREZ;X;;IVAN FERNÁNDEZ ÁLVAREZ;X;Assente;
Ivan Franek;TRUE;;Cast;La grande bellezza;nm0290432;Ivan Franek;A;nm0290432;Ivan Franek;A;nm0290432;Ivan Franek;A;nm0290432;Ivan Franek;A;nm0290432;Ivan Franek;A;nm0290432;Ivan Franek;A;nm0290432;Ivan Franek;A;;
Iván González;TRUE;Escrito por;Soundtrack;El desorden que dejas S01E03;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;Iván González;X;;
Dirección General de la Guardia Civil;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
IVANO DE MATTEO;TRUE;;Cast;Romanzo criminale S01E01;nm0210193;Ivano De Matteo;A;nm0210193;Ivano De Matteo;A;nm0210193;Ivano De Matteo;A;nm0210193;Ivano De Matteo;A;nm0210193;Ivano De Matteo;A;nm0210193;Ivano De Matteo;A;nm0210193;Ivano De Matteo;A;;
Ivano Poveromo;TRUE;Capo Trasporti;Transportation Department;Romanzo criminale S01E01;nm1277056;Ivano Poveromo;A;nm1277056;Ivano Poveromo;A;nm1277056;Ivano Poveromo;A;nm1277056;Ivano Poveromo;A;nm1277056;Ivano Poveromo;A;nm1277056;Ivano Poveromo;A;nm1277056;Ivano Poveromo;A;;
DS Automóviles España;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
IVONNE FUENTES;TRUE;Ayudantes de Vestuario;Costume and Wardrobe Department;El desorden que dejas S01E03;nm10558603;Ivonne Fuentes;A;nm10558603;Ivonne Fuentes;A;nm10558603;Ivonne Fuentes;A;nm10558603;Ivonne Fuentes;A;nm10558603;Ivonne Fuentes;A;nm10558603;Ivonne Fuentes;A;nm10558603;Ivonne Fuentes;A;;
J. K. Tavener;TRUE;THE LAMB;Soundtrack;La grande bellezza;;J. K. Tavener;X;;J. K. Tavener;X;;J. K. Tavener;X;;J. K. Tavener;X;;J. K. Tavener;X;;J. K. Tavener;X;;J. K. Tavener;X;;
J. LEACH;TRUE;Written by (Gypsy Csardas);Soundtrack;Se7en;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;
J. LEACH;TRUE;Written by (The Fourth Man);Soundtrack;Se7en;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;J. LEACH;X;;
J. Noble;TRUE;WATER FROM THE SAME SOURCE;Soundtrack;La grande bellezza;;J. Noble;X;;J. Noble;X;;J. Noble;X;;J. Noble;X;;J. Noble;X;;J. Noble;X;;J. Noble;X;;
J. Peña Suazo;TRUE;QUE NO SE ACABE EL MAMBO;Soundtrack;La grande bellezza;nm9079606;José Peña Suazo;M;;J. Peña Suazo;X;;J. Peña Suazo;X;;J. Peña Suazo;X;;J. Peña Suazo;X;;J. Peña Suazo;X;;J. Peña Suazo;X;;
J. Shaindlin;TRUE;FIRE;Soundtrack;Amelie;nm0769914;Jack Shaindlin;M;;J. Shaindlin;X;;J. Shaindlin;X;;J. Shaindlin;X;;J. Shaindlin;X;;J. Shaindlin;X;;J. Shaindlin;X;;
J.S. BACH;TRUE;Written by (Suite No.3 in D Major);Soundtrack;Se7en;;J.S. BACH;X;;J.S. BACH;X;;J.S. BACH;X;;J.S. BACH;X;;J.S. BACH;X;;J.S. BACH;X;;J.S. BACH;X;;
Jack Barron;TRUE;Make-Up Supervision;Makeup Department;Psycho;nm0057667;Jack Barron;A;nm0057667;Jack Barron;A;nm0057667;Jack Barron;A;nm0057667;Jack Barron;A;nm0057667;Jack Barron;A;nm0057667;Jack Barron;A;nm0057667;Jack Barron;A;;
